院校,科类,专业组,院校专业组代码,专业代码,专业名称,原专业类,原专业大类,目录专业,新专业类,新专业大类,匹配方式
天津职业大学,物理,天津职业大学02,322402,05,新能源汽车检测与维修技术,汽车制造类,装备制造大类,新能源汽车检测与维修技术,道路运输类,交通运输大类,exact
泰山职业技术学院,历史,泰山职业技术学院01,271701,01,机电一体化技术(水面舰艇人员合格)(只招男生)(海军),电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
泰山职业技术学院,历史,泰山职业技术学院02,271702,02,计算机应用技术(只招男生)(军事航天部队),计算机类,电子与信息大类,计算机应用技术,计算机类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院04,115004,26,机械制造及自动化(与南京工业职业技术大学分段培养项目),电气自动化类,装备制造大类,机械制造及自动化,机械设计制造类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院05,115005,29,船舶电子电气技术,航海运输类,交通运输大类,船舶电子电气技术,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,30,水路运输安全管理,航海运输类,交通运输大类,水路运输安全管理,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,31,电气自动化技术,电气自动化类,装备制造大类,电气自动化技术,自动化类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,32,港口机械与智能控制,航海运输类,交通运输大类,港口机械与智能控制,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,33,机电一体化技术,电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,34,工业机器人技术,电气自动化类,装备制造大类,工业机器人技术,自动化类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,35,智能机器人技术,其他专业类,其他,智能机器人技术,自动化类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,36,船舶工程技术,航海运输类,交通运输大类,船舶工程技术,船舶与海洋工程装备类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,37,船舶动力工程技术,航海运输类,交通运输大类,船舶动力工程技术,船舶与海洋工程装备类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,38,船舶检验,航海运输类,交通运输大类,船舶检验,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,39,海洋工程装备技术,其他专业类,其他,海洋工程装备技术,船舶与海洋工程装备类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,40,机械制造及自动化,电气自动化类,装备制造大类,机械制造及自动化,机械设计制造类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,41,数字化设计与制造技术,机械设计制造类,装备制造大类,数字化设计与制造技术,机械设计制造类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,42,港口与航运管理,航海运输类,交通运输大类,港口与航运管理,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,43,现代物流管理,财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,44,关务与外贸服务,财经商贸类,财经商贸大类,关务与外贸服务,经济贸易类,财经商贸大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,45,国际经济与贸易,财经商贸类,财经商贸大类,国际经济与贸易,经济贸易类,财经商贸大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,46,商务英语(只招英语考生),教育体育类,教育与体育大类,商务英语,语言类,教育与体育大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,47,软件技术,计算机类,电子与信息大类,软件技术,计算机类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,48,大数据技术,计算机类,电子与信息大类,大数据技术,计算机类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,49,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,50,电子信息工程技术,电子信息类,电子与信息大类,电子信息工程技术,电子信息类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,51,现代移动通信技术,电子信息类,电子与信息大类,现代移动通信技术,通信类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,52,工业互联网技术,电气自动化类,装备制造大类,工业互联网技术,计算机类,电子与信息大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,53,国际邮轮乘务管理,其他专业类,其他,国际邮轮乘务管理,水上运输类,交通运输大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,54,邮轮内装技术,其他专业类,其他,邮轮内装技术,船舶与海洋工程装备类,装备制造大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院06,115006,55,电子商务,财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
江苏海事职业技术学院,物理,江苏海事职业技术学院07,115007,56,船舶动力工程技术(中外合作办学),航海运输类,交通运输大类,船舶动力工程技术,船舶与海洋工程装备类,装备制造大类,exact
湖北三峡职业技术大学,物理,湖北三峡职业技术大学01,525401,01,"储能材料技术(江南校区)(报考该专业有色觉要求,具体请查阅院校招生章程)",能源动力与材料类,能源动力与材料大类,储能材料技术,有色金属材料类,能源动力与材料大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,05,飞行器维修技术,其他专业类,其他,飞行器维修技术,航空装备类,装备制造大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,06,飞行器数字化装配技术,其他专业类,其他,飞行器数字化装配技术,航空装备类,装备制造大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,07,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,08,智能机器人技术,其他专业类,其他,智能机器人技术,自动化类,装备制造大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,09,融媒体技术与运营,其他专业类,其他,融媒体技术与运营,广播影视类,新闻传播大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,10,虚拟现实技术应用,计算机类,电子与信息大类,虚拟现实技术应用,计算机类,电子与信息大类,exact
上海浦东职业技术学院,物理,上海浦东职业技术学院02,217402,11,跨境电子商务,财经商贸类,财经商贸大类,跨境电子商务,电子商务类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,22,现代通信技术,电子信息类,电子与信息大类,现代通信技术,通信类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,23,信息安全技术应用,计算机类,电子与信息大类,信息安全技术应用,计算机类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,24,移动互联应用技术,其他专业类,其他,移动互联应用技术,电子信息类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,25,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,26,物联网应用技术,计算机类,电子与信息大类,物联网应用技术,电子信息类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,27,智能产品开发与应用,电子信息类,电子与信息大类,智能产品开发与应用,电子信息类,电子与信息大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,28,智能网联汽车技术,汽车制造类,装备制造大类,智能网联汽车技术,汽车制造类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,29,新能源汽车技术,汽车制造类,装备制造大类,新能源汽车技术,汽车制造类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,30,新能源汽车检测与维修技术,汽车制造类,装备制造大类,新能源汽车检测与维修技术,道路运输类,交通运输大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,31,机电一体化技术,电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,32,机械制造及自动化,电气自动化类,装备制造大类,机械制造及自动化,机械设计制造类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,33,工业机器人技术,电气自动化类,装备制造大类,工业机器人技术,自动化类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,34,智能控制技术,电气自动化类,装备制造大类,智能控制技术,自动化类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,35,智能机电技术,其他专业类,其他,智能机电技术,自动化类,装备制造大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,36,网络营销与直播电商,计算机类,电子与信息大类,网络营销与直播电商,电子商务类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,37,跨境电子商务,财经商贸类,财经商贸大类,跨境电子商务,电子商务类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,38,大数据与会计,财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,39,电子商务,财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,40,现代物流管理,财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,41,社会工作,公共管理服务类,公共管理与服务大类,社会工作,公共事业类,公共管理与服务大类,exact
上海科学技术职业学院,物理,上海科学技术职业学院02,214902,42,数字媒体技术,计算机类,电子与信息大类,数字媒体技术,计算机类,电子与信息大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,07,高速铁路施工与维护(临潼校区),铁道运输类,交通运输大类,高速铁路施工与维护,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,08,铁道交通运营管理,铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,09,城市轨道交通运营管理,铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,10,铁路物流管理,铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,11,城市轨道车辆应用技术(港务校区),铁道运输类,交通运输大类,城市轨道车辆应用技术,城市轨道交通类,交通运输大类,exact
西安铁路职业技术学院,物理,西安铁路职业技术学院02,713002,12,铁道机车车辆制造与维护(港务校区),铁道运输类,交通运输大类,铁道机车车辆制造与维护,轨道装备类,装备制造大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,22,酒店管理与数字化运营,旅游餐饮类,旅游大类,酒店管理与数字化运营,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,23,大数据与财务管理,财务会计类,财经商贸大类,大数据与财务管理,财务会计类,财经商贸大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,24,大数据技术,计算机类,电子与信息大类,大数据技术,计算机类,电子与信息大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,25,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,26,旅游管理,旅游餐饮类,旅游大类,旅游管理,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,27,电子商务,财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,28,研学旅行管理与服务,其他专业类,其他,研学旅行管理与服务,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,29,智慧旅游技术应用,旅游餐饮类,旅游大类,智慧旅游技术应用,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,30,烹饪工艺与营养,食品药品类,食品药品与粮食大类,烹饪工艺与营养,餐饮类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,31,中西面点工艺,其他专业类,其他,中西面点工艺,餐饮类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,32,西式烹饪工艺,食品药品类,食品药品与粮食大类,西式烹饪工艺,餐饮类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,33,餐饮智能管理,旅游餐饮类,旅游大类,餐饮智能管理,餐饮类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,34,空中乘务,航空运输类,交通运输大类,空中乘务,航空运输类,交通运输大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,35,旅游英语,教育体育类,教育与体育大类,旅游英语,语言类,教育与体育大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,36,旅游日语,旅游餐饮类,旅游大类,旅游日语,语言类,教育与体育大类,exact
南京旅游职业学院,物理,南京旅游职业学院06,116006,37,应用韩语,其他专业类,其他,应用韩语,语言类,教育与体育大类,exact
南京旅游职业学院,物理,南京旅游职业学院07,116007,38,大数据技术(与南京传媒学院分段培养项目),计算机类,电子与信息大类,大数据技术,计算机类,电子与信息大类,exact
南京旅游职业学院,物理,南京旅游职业学院08,116008,39,旅游管理(与南京工业职业技术大学分段培养项目),旅游餐饮类,旅游大类,旅游管理,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院09,116009,40,烹饪工艺与营养(与盐城工学院分段培养项目),食品药品类,食品药品与粮食大类,烹饪工艺与营养,餐饮类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院10,116010,41,会展策划与管理(与南京传媒学院分段培养项目),旅游餐饮类,旅游大类,会展策划与管理,旅游类,旅游大类,exact
南京旅游职业学院,物理,南京旅游职业学院11,116011,42,电子商务(与南京传媒学院分段培养项目),财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
南京旅游职业学院,物理,南京旅游职业学院12,116012,43,大数据与财务管理(与南京传媒学院分段培养项目),财务会计类,财经商贸大类,大数据与财务管理,财务会计类,财经商贸大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院04,125404,12,工业设计(与南京工业职业技术大学分段培养项目),文化艺术类,文化艺术大类,工业设计,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,13,数字化设计与制造技术,机械设计制造类,装备制造大类,数字化设计与制造技术,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,14,机械制造及自动化,电气自动化类,装备制造大类,机械制造及自动化,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,15,数控技术,机械设计制造类,装备制造大类,数控技术,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,16,模具设计与制造,机械设计制造类,装备制造大类,模具设计与制造,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,17,机电一体化技术,电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,18,智能机器人技术,其他专业类,其他,智能机器人技术,自动化类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,19,智能制造装备技术,电气自动化类,装备制造大类,智能制造装备技术,机电设备类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,20,电气自动化技术,电气自动化类,装备制造大类,电气自动化技术,自动化类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,21,软件技术,计算机类,电子与信息大类,软件技术,计算机类,电子与信息大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,22,工业互联网技术,电气自动化类,装备制造大类,工业互联网技术,计算机类,电子与信息大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,23,现代物流管理,财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院05,125405,24,工业设计,文化艺术类,文化艺术大类,工业设计,机械设计制造类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院06,125406,25,工业机器人技术(中外合作办学),电气自动化类,装备制造大类,工业机器人技术,自动化类,装备制造大类,exact
常州机电职业技术学院,物理,常州机电职业技术学院06,125406,26,计算机网络技术(中外合作办学),计算机类,电子与信息大类,计算机网络技术,计算机类,电子与信息大类,exact
河北轨道运输职业技术学院,历史,河北轨道运输职业技术学院01,335401,01,铁道交通运营管理,铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
河北轨道运输职业技术学院,历史,河北轨道运输职业技术学院01,335401,02,铁道信号自动控制,铁道运输类,交通运输大类,铁道信号自动控制,铁道运输类,交通运输大类,exact
河北轨道运输职业技术学院,历史,河北轨道运输职业技术学院01,335401,03,铁路物流管理,铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
河北轨道运输职业技术学院,历史,河北轨道运输职业技术学院01,335401,04,铁道机车运用与维护,铁道运输类,交通运输大类,铁道机车运用与维护,铁道运输类,交通运输大类,exact
河北轨道运输职业技术学院,历史,河北轨道运输职业技术学院01,335401,05,动车组检修技术,铁道运输类,交通运输大类,动车组检修技术,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,01,轨道交通通信信号设备制造与维护,铁道运输类,交通运输大类,轨道交通通信信号设备制造与维护,轨道装备类,装备制造大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,02,高速铁路施工与维护(临潼校区),铁道运输类,交通运输大类,高速铁路施工与维护,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,03,铁道通信与信息化技术,铁道运输类,交通运输大类,铁道通信与信息化技术,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,04,铁道交通运营管理,铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,05,城市轨道交通运营管理,铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
西安铁路职业技术学院,历史,西安铁路职业技术学院01,713001,06,铁路物流管理,铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,05,生物制药技术(卧龙山校区),生物化工类,生物与化工大类,生物制药技术,药品与医疗器械类,食品药品与粮食大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,06,智能建造技术(卧龙山校区),其他专业类,其他,智能建造技术,土建施工类,土木建筑大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,07,数控技术,机械设计制造类,装备制造大类,数控技术,机械设计制造类,装备制造大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,08,新能源汽车技术,汽车制造类,装备制造大类,新能源汽车技术,汽车制造类,装备制造大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,09,"飞行器数字化制造技术(报考该专业有色觉等要求,具体请查阅院校招生章程)",机械设计制造类,装备制造大类,飞行器数字化制造技术,航空装备类,装备制造大类,exact
日照职业技术大学,物理,日照职业技术大学02,264702,10,"工业互联网技术(报考该专业有色觉要求,具体请查阅院校招生章程)",电气自动化类,装备制造大类,工业互联网技术,计算机类,电子与信息大类,exact
上海浦东职业技术学院,历史,上海浦东职业技术学院01,217401,01,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
上海浦东职业技术学院,历史,上海浦东职业技术学院01,217401,02,融媒体技术与运营,其他专业类,其他,融媒体技术与运营,广播影视类,新闻传播大类,exact
上海浦东职业技术学院,历史,上海浦东职业技术学院01,217401,03,虚拟现实技术应用,计算机类,电子与信息大类,虚拟现实技术应用,计算机类,电子与信息大类,exact
上海浦东职业技术学院,历史,上海浦东职业技术学院01,217401,04,跨境电子商务,财经商贸类,财经商贸大类,跨境电子商务,电子商务类,财经商贸大类,exact
江西航空职业技术学院,物理,江西航空职业技术学院02,819602,06,飞行器数字化制造技术(只招男生)[海军(机务兵)],机械设计制造类,装备制造大类,飞行器数字化制造技术,航空装备类,装备制造大类,exact
江西航空职业技术学院,物理,江西航空职业技术学院02,819602,07,飞机电子设备维修(只招男生)[空军(机务兵)],航空运输类,交通运输大类,飞机电子设备维修,航空运输类,交通运输大类,exact
江西航空职业技术学院,物理,江西航空职业技术学院02,819602,08,无人机应用技术(只招男生)(火箭军),航空运输类,交通运输大类,无人机应用技术,航空装备类,装备制造大类,exact
江西航空职业技术学院,物理,江西航空职业技术学院02,819602,09,导弹维修技术(只招男生)(陆军),其他专业类,其他,导弹维修技术,航空装备类,装备制造大类,exact
江西航空职业技术学院,物理,江西航空职业技术学院02,819602,10,核与辐射检测防护技术(只招男生)(火箭军),其他专业类,其他,核与辐射检测防护技术,环境保护类,资源环境与安全大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,01,发电厂及电力系统,能源动力与材料类,能源动力与材料大类,发电厂及电力系统,电力技术类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,02,电力系统继电保护技术,能源动力与材料类,能源动力与材料大类,电力系统继电保护技术,电力技术类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,03,供用电技术,能源动力与材料类,能源动力与材料大类,供用电技术,电力技术类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,04,热能动力工程技术,能源动力与材料类,能源动力与材料大类,热能动力工程技术,热能与发电工程类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,05,发电运行技术,能源动力与材料类,能源动力与材料大类,发电运行技术,热能与发电工程类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,06,热工自动化技术,电气自动化类,装备制造大类,热工自动化技术,热能与发电工程类,能源动力与材料大类,exact
哈尔滨电力职业技术学院,物理,哈尔滨电力职业技术学院01,431601,07,光伏工程技术,能源动力与材料类,能源动力与材料大类,光伏工程技术,新能源发电工程类,能源动力与材料大类,exact
安徽粮食工程职业学院,物理,安徽粮食工程职业学院02,237902,02,粮食储运与质量安全,食品药品类,食品药品与粮食大类,粮食储运与质量安全,粮食类,食品药品与粮食大类,exact
苏州工艺美术职业技术学院,历史,苏州工艺美术职业技术学院01,127101,01,文物修复与保护,其他专业类,其他,文物修复与保护,文化服务类,文化艺术大类,exact
苏州工艺美术职业技术学院,历史,苏州工艺美术职业技术学院01,127101,02,融媒体技术与运营,其他专业类,其他,融媒体技术与运营,广播影视类,新闻传播大类,exact
苏州工艺美术职业技术学院,历史,苏州工艺美术职业技术学院01,127101,03,影视多媒体技术,文化艺术类,文化艺术大类,影视多媒体技术,广播影视类,新闻传播大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院01,141101,01,畜牧兽医(与金陵科技学院分段培养项目),农林牧渔类,农林牧渔大类,畜牧兽医,畜牧业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院02,141102,02,机械制造及自动化(与南京工业职业技术大学分段培养项目),电气自动化类,装备制造大类,机械制造及自动化,机械设计制造类,装备制造大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,03,园林技术,农林牧渔类,农林牧渔大类,园林技术,林业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,04,林业技术,其他专业类,其他,林业技术,林业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,05,园林工程技术,土木建筑类,土木建筑大类,园林工程技术,建筑设计类,土木建筑大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,06,家具设计与制造,机械设计制造类,装备制造大类,家具设计与制造,轻化工类,轻工纺织大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,07,木业产品设计与制造,机械设计制造类,装备制造大类,木业产品设计与制造,林业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,08,现代农业技术,农林牧渔类,农林牧渔大类,现代农业技术,农业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,09,园艺技术,农林牧渔类,农林牧渔大类,园艺技术,农业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,10,环境监测技术,资源环境安全类,资源环境与安全大类,环境监测技术,环境保护类,资源环境与安全大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,11,动物医学,农林牧渔类,农林牧渔大类,动物医学,畜牧业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,12,宠物医疗技术,农林牧渔类,农林牧渔大类,宠物医疗技术,畜牧业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,13,宠物养护与驯导,农林牧渔类,农林牧渔大类,宠物养护与驯导,畜牧业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,14,畜牧兽医,农林牧渔类,农林牧渔大类,畜牧兽医,畜牧业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,15,食品检验检测技术,食品药品类,食品药品与粮食大类,食品检验检测技术,食品类,食品药品与粮食大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,16,食品智能加工技术,食品药品类,食品药品与粮食大类,食品智能加工技术,食品类,食品药品与粮食大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,17,农产品加工与质量检测,农林牧渔类,农林牧渔大类,农产品加工与质量检测,农业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,18,农业生物技术,农林牧渔类,农林牧渔大类,农业生物技术,生物技术类,生物与化工大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,19,茶叶生产与加工技术,农林牧渔类,农林牧渔大类,茶叶生产与加工技术,农业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,20,茶艺与茶文化,其他专业类,其他,茶艺与茶文化,旅游类,旅游大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,21,食用菌生产与加工技术,其他专业类,其他,食用菌生产与加工技术,农业类,农林牧渔大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,22,大数据与财务管理,财务会计类,财经商贸大类,大数据与财务管理,财务会计类,财经商贸大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,23,现代物流管理,财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,24,市场营销,财经商贸类,财经商贸大类,市场营销,工商管理类,财经商贸大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,25,旅游管理,旅游餐饮类,旅游大类,旅游管理,旅游类,旅游大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,26,酒店管理与数字化运营,旅游餐饮类,旅游大类,酒店管理与数字化运营,旅游类,旅游大类,exact
江苏农林职业技术学院,历史,江苏农林职业技术学院03,141103,27,电子商务,财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
