院校,科类,专业组,院校专业组代码,专业代码,专业名称,原专业类,原专业大类,目录专业,新专业类,新专业大类,匹配方式
广州民航职业技术学院,历史,广州民航职业技术学院01,541501,02,航空物流管理(花都赤坭校区),航空运输类,交通运输大类,航空物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院01,330901,01,邮政快递运营管理(西校区)(南通地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,02,机电一体化技术(邮政装备智能化方向)(西校区)(连云港地区就业),电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,03,现代物流管理(东校区)(连云港地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院02,330902,04,邮政快递运营管理(西校区)(连云港地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院03,330903,05,现代物流管理(东校区)(淮安地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院03,330903,06,邮政快递运营管理(西校区)(淮安地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,07,现代物流管理(东校区)(扬州地区就业),财经商贸类,财经商贸大类,现代物流管理,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,08,供应链运营(东校区)(扬州地区就业),其他专业类,其他,供应链运营,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院04,330904,09,邮政快递运营管理(西校区)(扬州地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院05,330905,10,邮政快递智能技术(西校区)(镇江地区就业),其他专业类,其他,邮政快递智能技术,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院05,330905,11,邮政快递运营管理(西校区)(镇江地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院06,330906,12,邮政快递运营管理(西校区)(宿迁地区就业),其他专业类,其他,邮政快递运营管理,邮政类,交通运输大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院07,330907,13,低空物流技术与运营,财经商贸类,财经商贸大类,低空物流技术与运营,物流类,财经商贸大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院07,330907,14,智能机器人技术,其他专业类,其他,智能机器人技术,自动化类,装备制造大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院07,330907,15,低空智联网技术,其他专业类,其他,低空智联网技术,通信类,电子与信息大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院07,330907,16,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
石家庄邮电职业技术学院,物理,石家庄邮电职业技术学院07,330907,17,智能体技术应用,其他专业类,其他,智能体技术应用,计算机类,电子与信息大类,exact
浙江金融职业学院,历史,浙江金融职业学院01,225301,01,金融服务与管理(杭州校区),财经商贸类,财经商贸大类,金融服务与管理,金融类,财经商贸大类,exact
浙江金融职业学院,历史,浙江金融职业学院01,225301,02,财富管理(绍兴校区),其他专业类,其他,财富管理,金融类,财经商贸大类,exact
浙江金融职业学院,历史,浙江金融职业学院01,225301,03,大数据与会计(杭州校区),财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
天津铁道职业技术学院,历史,天津铁道职业技术学院01,323801,01,铁道工程技术(海教园校区),铁道运输类,交通运输大类,铁道工程技术,铁道运输类,交通运输大类,exact
天津铁道职业技术学院,历史,天津铁道职业技术学院01,323801,02,铁道通信与信息化技术(海教园校区),铁道运输类,交通运输大类,铁道通信与信息化技术,铁道运输类,交通运输大类,exact
天津铁道职业技术学院,历史,天津铁道职业技术学院01,323801,03,城市轨道车辆应用技术(南校区),铁道运输类,交通运输大类,城市轨道车辆应用技术,城市轨道交通类,交通运输大类,exact
天津铁道职业技术学院,历史,天津铁道职业技术学院01,323801,04,城市轨道交通运营管理(南校区),铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
北京工业职业技术学院,历史,北京工业职业技术学院01,316801,01,大数据与会计,财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
民政职业大学,历史,民政职业大学02,317602,10,民政服务与管理,其他专业类,其他,民政服务与管理,公共管理类,公共管理与服务大类,exact
民政职业大学,历史,民政职业大学02,317602,11,人力资源管理,公共管理服务类,公共管理与服务大类,人力资源管理,公共管理类,公共管理与服务大类,exact
民政职业大学,历史,民政职业大学02,317602,12,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,智慧健康养老服务与管理,公共服务类,公共管理与服务大类,exact
民政职业大学,历史,民政职业大学02,317602,13,现代殡葬技术与管理,公共管理服务类,公共管理与服务大类,现代殡葬技术与管理,公共服务类,公共管理与服务大类,exact
民政职业大学,历史,民政职业大学02,317602,14,陵园服务与管理,其他专业类,其他,陵园服务与管理,公共服务类,公共管理与服务大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,01,城市轨道车辆应用技术,铁道运输类,交通运输大类,城市轨道车辆应用技术,城市轨道交通类,交通运输大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,02,城市轨道交通机电技术,铁道运输类,交通运输大类,城市轨道交通机电技术,城市轨道交通类,交通运输大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,03,城市轨道交通运营管理,铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,04,动车组检修技术,铁道运输类,交通运输大类,动车组检修技术,铁道运输类,交通运输大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,05,机电一体化技术,电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,06,铁道信号自动控制,铁道运输类,交通运输大类,铁道信号自动控制,铁道运输类,交通运输大类,exact
常州铁道职业技术学院,历史,常州铁道职业技术学院01,125701,07,铁道供电技术,铁道运输类,交通运输大类,铁道供电技术,铁道运输类,交通运输大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,01,电子信息工程技术,电子信息类,电子与信息大类,电子信息工程技术,电子信息类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,02,大数据与会计,财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,03,网络营销与直播电商,计算机类,电子与信息大类,网络营销与直播电商,电子商务类,财经商贸大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,04,电子商务,财经商贸类,财经商贸大类,电子商务,电子商务类,财经商贸大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,05,检验检测技术与管理,其他专业类,其他,检验检测技术与管理,公共管理类,公共管理与服务大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,06,商务数据分析与应用,财经商贸类,财经商贸大类,商务数据分析与应用,电子商务类,财经商贸大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,07,光伏工程技术,能源动力与材料类,能源动力与材料大类,光伏工程技术,新能源发电工程类,能源动力与材料大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,08,集成电路技术,电子信息类,电子与信息大类,集成电路技术,集成电路类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,09,机电一体化技术,电气自动化类,装备制造大类,机电一体化技术,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,10,嵌入式技术应用,其他专业类,其他,嵌入式技术应用,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,11,新能源汽车技术,汽车制造类,装备制造大类,新能源汽车技术,汽车制造类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,12,现代通信技术,电子信息类,电子与信息大类,现代通信技术,通信类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,13,移动应用开发,其他专业类,其他,移动应用开发,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,14,工业机器人技术,电气自动化类,装备制造大类,工业机器人技术,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,15,智能体技术应用,其他专业类,其他,智能体技术应用,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,16,物联网应用技术,计算机类,电子与信息大类,物联网应用技术,电子信息类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,17,具身智能机器人技术,其他专业类,其他,具身智能机器人技术,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,18,云计算技术应用,计算机类,电子与信息大类,云计算技术应用,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,19,低空智联网技术,其他专业类,其他,低空智联网技术,通信类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,20,量子通信技术应用,电子信息类,电子与信息大类,量子通信技术应用,通信类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,21,智能网联汽车技术,汽车制造类,装备制造大类,智能网联汽车技术,汽车制造类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,22,智能物流技术,财经商贸类,财经商贸大类,智能物流技术,物流类,财经商贸大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,23,智能交通技术,其他专业类,其他,智能交通技术,道路运输类,交通运输大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,24,数字媒体技术,计算机类,电子与信息大类,数字媒体技术,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,25,虚拟现实技术应用,计算机类,电子与信息大类,虚拟现实技术应用,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,26,人工智能技术应用,计算机类,电子与信息大类,人工智能技术应用,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,27,工业互联网应用,电气自动化类,装备制造大类,工业互联网应用,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,28,人工智能数据工程技术,计算机类,电子与信息大类,人工智能数据工程技术,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,29,电气自动化技术,电气自动化类,装备制造大类,电气自动化技术,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,30,智能控制技术,电气自动化类,装备制造大类,智能控制技术,自动化类,装备制造大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,31,电信服务与管理,其他专业类,其他,电信服务与管理,通信类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,32,智能光电技术应用,电子信息类,电子与信息大类,智能光电技术应用,电子信息类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,33,软件技术,计算机类,电子与信息大类,软件技术,计算机类,电子与信息大类,exact
南京信息职业技术学院,历史,南京信息职业技术学院01,115401,34,大数据技术,计算机类,电子与信息大类,大数据技术,计算机类,电子与信息大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院05,115505,10,智能控制技术(与南京工业职业技术大学分段培养项目),电气自动化类,装备制造大类,智能控制技术,自动化类,装备制造大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院06,115506,11,大数据与会计(与金陵科技学院分段培养项目),财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
