sourceExcelRow,ID,identityKey,subject,batch,school,schoolGroupCode,majorCode,majorName,plan26,score25,rank25,score24,rank24,score23,rank23,sourceRule
4,3,010201+01,历史,提前本科批,国防科技大学,010201,01,日语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,584,7093,628,960,same-row only
5,4,010201+02,历史,提前本科批,国防科技大学,010201,02,马来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
6,5,010201+03,历史,提前本科批,国防科技大学,010201,03,希伯来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
7,6,010201+04,历史,提前本科批,国防科技大学,010201,04,葡萄牙语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
8,8,010202+05,历史,提前本科批,国防科技大学,010202,05,乌尔都语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
9,10,010203+06,历史,提前本科批,国防科技大学,010203,06,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,636,776,,,,,same-row only
10,11,010203+07,历史,提前本科批,国防科技大学,010203,07,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,634,890,578,8656,,,same-row only
11,12,010203+08,历史,提前本科批,国防科技大学,010203,08,思想政治教育(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
12,13,010203+09,历史,提前本科批,国防科技大学,010203,09,马克思主义理论(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
13,7762,010204+10,物理,提前本科批,国防科技大学,010204,10,英语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
14,7763,010204+11,物理,提前本科批,国防科技大学,010204,11,管理科学(指挥勤务保障初级技术军官)(只招男生)(体检标准:通用标准合格),2,646,5311,,,,,same-row only
15,7764,010204+12,物理,提前本科批,国防科技大学,010204,12,大数据管理与应用(数据管理与应用初级技术军官)(只招男生)(体检标准:通用标准合格),1,641,7122,,,,,same-row only
16,7766,010205+13,物理,提前本科批,国防科技大学,010205,13,日语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
17,7767,010205+14,物理,提前本科批,国防科技大学,010205,14,管理科学(指挥勤务保障初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
18,7769,010206+15,物理,提前本科批,国防科技大学,010206,15,数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,,,,,same-row only
19,7770,010206+16,物理,提前本科批,国防科技大学,010206,16,物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,648,5060,,,same-row only
20,7771,010206+17,物理,提前本科批,国防科技大学,010206,17,大气科学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,643,6605,,,same-row only
21,7772,010206+18,物理,提前本科批,国防科技大学,010206,18,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,644,5986,,,,,same-row only
22,7773,010206+19,物理,提前本科批,国防科技大学,010206,19,海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
23,7774,010206+20,物理,提前本科批,国防科技大学,010206,20,应用统计学(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
24,7775,010206+21,物理,提前本科批,国防科技大学,010206,21,理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,647,4974,647,5323,643,7266,same-row only
25,7776,010206+22,物理,提前本科批,国防科技大学,010206,22,机械工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,651,4229,652,4397,same-row only
26,7777,010206+23,物理,提前本科批,国防科技大学,010206,23,测控技术与仪器(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,656,3027,,,same-row only
27,7778,010206+24,物理,提前本科批,国防科技大学,010206,24,材料科学与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,651,3806,647,5323,643,7266,same-row only
28,7779,010206+25,物理,提前本科批,国防科技大学,010206,25,纳米材料与技术(新兴高技术初级技术军官)(只招另生)(体检标准:通用标准合格),1,,,,,,,same-row only
29,7780,010206+26,物理,提前本科批,国防科技大学,010206,26,微电子科学与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,654,3082,,,657,3166,same-row only
30,7781,010206+27,物理,提前本科批,国防科技大学,010206,27,海洋信息工程(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),1,649,4364,644,6276,646,6254,same-row only
31,7782,010206+28,物理,提前本科批,国防科技大学,010206,28,计算机科学与技术(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,672,507,675,597,687,100,same-row only
32,7783,010206+29,物理,提前本科批,国防科技大学,010206,29,网络工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,643,6363,645,5946,648,5543,same-row only
33,7784,010206+30,物理,提前本科批,国防科技大学,010206,30,信息安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),1,663,1382,659,2476,646,6254,same-row only
34,7785,010206+31,物理,提前本科批,国防科技大学,010206,31,数据科学与大数据技术(信息数据保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,657,2843,647,5894,same-row only
35,7786,010206+32,物理,提前本科批,国防科技大学,010206,32,网络空间安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),1,658,2210,644,6276,646,6254,same-row only
36,7787,010206+33,物理,提前本科批,国防科技大学,010206,33,导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,653,3282,650,4500,,,same-row only
37,7788,010206+34,物理,提前本科批,国防科技大学,010206,34,航空航天类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),3,658,2210,653,3747,,,same-row only
38,7789,010206+35,物理,提前本科批,国防科技大学,010206,35,武器系统与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,643,6605,642,7656,same-row only
39,7790,010206+36,物理,提前本科批,国防科技大学,010206,36,无人系统指挥与控制(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,653,3282,,,,,same-row only
40,7791,010206+37,物理,提前本科批,国防科技大学,010206,37,预警探测(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,655,2848,,,,,same-row only
41,7792,010206+38,物理,提前本科批,国防科技大学,010206,38,侦察情报(情报分析整编、图像判读初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,640,7530,639,8015,640,8448,same-row only
42,7793,010206+39,物理,提前本科批,国防科技大学,010206,39,侦察情报(网电情报分析初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,643,6363,638,8380,636,10154,same-row only
43,7794,010206+40,物理,提前本科批,国防科技大学,010206,40,任务规划(任务规划初级技术军官)(只招男生)(体检标准:通用标准合格),1,648,4676,,,,,same-row only
44,7795,010206+41,物理,提前本科批,国防科技大学,010206,41,装备试验系统工程(装备试验初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,647,4974,,,,,same-row only
45,7796,010206+42,物理,提前本科批,国防科技大学,010206,42,指挥信息系统工程(指挥信息保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,645,5634,643,6605,642,7656,same-row only
46,7797,010206+43,物理,提前本科批,国防科技大学,010206,43,卫星互联网工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,654,3082,,,,,same-row only
47,7798,010206+44,物理,提前本科批,国防科技大学,010206,44,导弹工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),1,653,3282,649,4771,651,4643,same-row only
48,7799,010206+45,物理,提前本科批,国防科技大学,010206,45,无人装备工程(无人装备初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,652,4397,same-row only
49,7800,010206+46,物理,提前本科批,国防科技大学,010206,46,仿真工程(试验仿真初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,655,2848,654,3477,644,6899,same-row only
50,7801,010206+47,物理,提前本科批,国防科技大学,010206,47,新概念武器技术与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),2,653,3282,,,,,same-row only
51,7803,010207+48,物理,提前本科批,国防科技大学,010207,48,光电信息科学与工程(光电对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),1,669,729,647,5323,662,2184,same-row only
52,7804,010207+49,物理,提前本科批,国防科技大学,010207,49,信息对抗技术(电子对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),3,642,6733,639,8015,637,9657,same-row only
53,7805,010207+50,物理,提前本科批,国防科技大学,010207,50,作战指挥(电子对抗作战指挥初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),2,641,7122,,,,,same-row only
54,7806,010207+51,物理,提前本科批,国防科技大学,010207,51,网电指挥与工程(电子对抗、网络安全初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),1,644,5986,,,,,same-row only
55,7807,010207+52,物理,提前本科批,国防科技大学,010207,52,雷达工程(电子对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),1,642,6733,,,637,9657,same-row only
56,7809,010208+53,物理,提前本科批,国防科技大学,010208,53,电子信息工程(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),1,645,5634,642,6951,640,8448,same-row only
57,7810,010208+54,物理,提前本科批,国防科技大学,010208,54,电子科学与技术(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),1,651,3806,670,978,641,8031,same-row only
58,7811,010208+55,物理,提前本科批,国防科技大学,010208,55,通信工程(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),1,644,5986,640,7634,641,8031,same-row only
59,7813,010209+56,物理,提前本科批,国防科技大学,010209,56,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
60,7814,010209+57,物理,提前本科批,国防科技大学,010209,57,物联网工程(新兴高技术初级技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
61,7816,010210+58,物理,提前本科批,国防科技大学,010210,58,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
62,7817,010210+59,物理,提前本科批,国防科技大学,010210,59,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,613,22857,same-row only
63,7820,010501+01,物理,提前本科批,陆军工程大学,010501,01,作战指挥(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),1,617,20350,,,,,same-row only
64,7821,010501+02,物理,提前本科批,陆军工程大学,010501,02,作战指挥(工兵分队指挥军官)(只招男生)(体检标准:通用标准合格),4,613,23215,,,,,same-row only
65,7822,010501+03,物理,提前本科批,陆军工程大学,010501,03,无人系统指挥与控制(无人机运用与指挥初级指挥军官)(只招男生)(体检标准:通用标准合格),3,620,18320,,,,,same-row only
66,7823,010501+04,物理,提前本科批,陆军工程大学,010501,04,无人系统指挥与控制(无人破障初级指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
67,7824,010501+05,物理,提前本科批,陆军工程大学,010501,05,侦察情报(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),1,613,23215,,,,,same-row only
68,7825,010501+06,物理,提前本科批,陆军工程大学,010501,06,军事设施工程(工程建筑、维护分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,618,19675,609,23502,611,24195,same-row only
69,7826,010501+07,物理,提前本科批,陆军工程大学,010501,07,装备保障(通用装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),2,,,,,,,same-row only
70,7827,010501+08,物理,提前本科批,陆军工程大学,010501,08,装备经济管理(装备采购、审价、项目管理初级技术军官)(只招男生)(体检标准:通用标准合格),1,629,12830,,,,,same-row only
71,7828,010501+09,物理,提前本科批,陆军工程大学,010501,09,地雷爆破与破障工程(地雷爆破与破障分队指挥警官)(只招男生)(体检标准:通用标准合格),3,614,22496,,,606,27545,same-row only
72,7829,010501+10,物理,提前本科批,陆军工程大学,010501,10,地雷爆破与破障工程(地雷爆破与破障分队指挥军官)(只招男生)(体检标准:通用标准合格),1,609,26331,608,24206,,,same-row only
73,7830,010501+11,物理,提前本科批,陆军工程大学,010501,11,伪装与防护工程(伪装分队指挥军官)(只招男生)(体检标准:通用标准合格),3,617,20350,610,22843,,,same-row only
74,7831,010501+12,物理,提前本科批,陆军工程大学,010501,12,航空电子电气工程(航电初级技术军官)(只招男生)(体检标准:通用标准合格),2,630,12321,,,,,same-row only
75,7832,010501+13,物理,提前本科批,陆军工程大学,010501,13,无人装备工程(无人装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,624,14594,,,same-row only
76,7834,010502+14,物理,提前本科批,陆军工程大学,010502,14,作战指挥(船艇初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),2,612,23948,,,,,same-row only
77,7836,010503+15,物理,提前本科批,陆军工程大学,010503,15,指挥信息系统工程(指挥信息系统工程初级技术军官)(只招男生)(体检标准:通信导航岗位合格),2,,,611,22222,,,same-row only
78,7838,010504+16,物理,提前本科批,陆军工程大学,010504,16,机械工程(工程机械装备维修与管理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),5,612,23948,607,24905,613,22857,same-row only
79,7839,010504+17,物理,提前本科批,陆军工程大学,010504,17,土木工程(防护工程构筑分队指挥军官)(只招男生)(体检标准:通用标准合格),3,619,19005,608,24206,605,28268,same-row only
80,7840,010504+18,物理,提前本科批,陆军工程大学,010504,18,道路桥梁与渡河工程(道路桥梁舟桥和卸载初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),6,607,27966,598,31528,592,37932,same-row only
81,7841,010504+19,物理,提前本科批,陆军工程大学,010504,19,飞行器设计与工程(航空机械初级技术军官)(只招男生)(体检标准:通用标准合格),3,613,23215,605,26288,620,18503,same-row only
82,7842,010504+20,物理,提前本科批,陆军工程大学,010504,20,武器系统与工程(航空军械初级技术军官)(只招男生)(体检标准:通用标准合格),1,622,17029,615,19694,611,24195,same-row only
83,7843,010504+21,物理,提前本科批,陆军工程大学,010504,21,武器系统与工程(武器装备维修与管理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,611,24770,602,28486,605,28268,same-row only
84,7844,010504+22,物理,提前本科批,陆军工程大学,010504,22,弹药工程与爆炸技术(弹药保障初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),6,607,27966,593,35657,606,27545,same-row only
85,7845,010504+23,物理,提前本科批,陆军工程大学,010504,23,作战环境工程(野战给水分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
86,7847,010505+24,物理,提前本科批,陆军工程大学,010505,24,电子信息工程(信号分析、频谱管控初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),2,625,15100,613,20991,,,same-row only
87,7848,010505+25,物理,提前本科批,陆军工程大学,010505,25,通信工程(机动通信、数据链系统初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),6,622,17029,619,17343,614,22200,same-row only
88,7849,010505+26,物理,提前本科批,陆军工程大学,010505,26,网络工程(网络工程初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),1,628,13360,616,19076,636,10154,same-row only
89,7850,010505+27,物理,提前本科批,陆军工程大学,010505,27,信息安全(信息安全初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),1,626,14488,619,17343,637,9657,same-row only
90,7851,010505+28,物理,提前本科批,陆军工程大学,010505,28,数据科学与大数据技术(数据科学与大数据技术初级技术军官)(只招男生)(体检标准:通信导航岗位合格),2,622,17029,,,,,same-row only
91,7852,010505+29,物理,提前本科批,陆军工程大学,010505,29,网络空间安全(网络空间安全初级技术军官)(只招男生)(体检标准:通信导航岗位合格),1,623,16380,,,,,same-row only
92,7854,010506+30,物理,提前本科批,陆军工程大学,010506,30,航海技术(卸载转运初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),3,,,,,,,same-row only
93,7855,010506+31,物理,提前本科批,陆军工程大学,010506,31,航海技术(舰艇航通初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),3,607,27966,,,,,same-row only
94,7856,010506+32,物理,提前本科批,陆军工程大学,010506,32,轮机工程(船艇机电部门初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),3,611,24770,,,,,same-row only
95,7858,010507+33,物理,提前本科批,陆军工程大学,010507,33,通信工程(机动通信、数据链系统初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),2,643,6363,630,11630,621,17908,same-row only
96,7859,010507+34,物理,提前本科批,陆军工程大学,010507,34,网络工程(网络工程初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),1,,,623,15118,,,same-row only
97,7860,010507+35,物理,提前本科批,陆军工程大学,010507,35,信息安全(信息安全初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),1,623,16380,,,,,same-row only
98,7861,010507+36,物理,提前本科批,陆军工程大学,010507,36,智能无人系统技术(智能无人系统工程初级技术军官)(只招女生)(体检标准:通信导航岗位合格),1,622,17029,,,,,same-row only
99,7863,010508+37,物理,提前本科批,陆军工程大学,010508,37,新能源科学与工程(电能保障、能源安全防护初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),1,,,,,,,same-row only
100,9642,010509+38,物理,本科批,陆军工程大学,010509,38,"建筑学(全国人防工程建筑设计工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件且为中共党员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,600,33986,595,33981,598,33367,same-row only
101,9643,010509+39,物理,本科批,陆军工程大学,010509,39,"工程管理(全国人防建筑施工组织管理与监理工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件且为中共党员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,598,35804,594,34820,566,60725,same-row only
102,9645,010510+40,物理,本科批,陆军工程大学,010510,40,"电气工程及其自动化(全国人防电力工程及自动化技术工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,601,33070,600,29983,621,17908,same-row only
103,9646,010510+41,物理,本科批,陆军工程大学,010510,41,"通信工程(全国人防通信领域工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,606,28842,610,22843,603,29716,same-row only
104,9647,010510+42,物理,本科批,陆军工程大学,010510,42,"网络工程(全国人防指挥自动化技术工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,600,33986,,,,,same-row only
105,9648,010510+43,物理,本科批,陆军工程大学,010510,43,"土木工程(金国人防工程建筑结构设计与施工工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",1,599,34889,596,33188,600,31866,same-row only
106,9649,010510+44,物理,本科批,陆军工程大学,010510,44,"建筑环境与能源应用工程(全国人防通风空调与给排水工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",2,595,38686,597,32342,598,33367,same-row only
107,16,010801+01,历史,提前本科批,陆军步兵学院,010801,01,汉语言文学(边防分队指挥军官)(只招男生)(体检标准:通用标准合格),2,,,,,,,same-row only
108,18,010802+02,历史,提前本科批,陆军步兵学院,010802,02,汉语言文学(边防分队指挥军官)(只招女生)(体检标准:通用标准合格),1,612,3262,,,,,same-row only
109,7866,010803+03,物理,提前本科批,陆军步兵学院,010803,03,作战指挥(海军陆战队警卫勤务分队指挥军官)(只招男生)(体检标准:通用标准合格),2,596,37721,,,,,same-row only
110,7867,010803+04,物理,提前本科批,陆军步兵学院,010803,04,作战指挥(步兵侦察分队指挥军官)(只招男生)(体检标准:通用标准合格),4,596,37721,,,,,same-row only
111,7868,010803+05,物理,提前本科批,陆军步兵学院,010803,05,作战指挥(边防分队指挥军官)(只招男生)(体检标准:通用标准合格),3,,,,,,,same-row only
112,7869,010803+06,物理,提前本科批,陆军步兵学院,010803,06,作战指挥(警卫勤务分队指挥军官)(只招男生)(体检标准:通用标准合格),7,596,37721,591,37358,588,41159,same-row only
113,7870,010803+07,物理,提前本科批,陆军步兵学院,010803,07,作战指挥(摩托化步兵分队指挥军官)(只招男生)(体检标准:通用标准合格),9,,,,,588,41159,same-row only
114,7871,010803+08,物理,提前本科批,陆军步兵学院,010803,08,作战指挥(轻便炮兵分队指挥警官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
115,7872,010803+09,物理,提前本科批,陆军步兵学院,010803,09,作战指挥(轻便炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),6,596,37721,590,38211,587,42009,same-row only
116,7873,010803+10,物理,提前本科批,陆军步兵学院,010803,10,指挥信息系统工程(轻高机、空突步兵分队指挥军官)(只招男生)(体检标准:通用标准合格),5,597,36725,592,36503,589,40322,same-row only
117,7875,010804+11,物理,提前本科批,陆军步兵学院,010804,11,作战指挥(空降兵初级指挥军官)(只招男生)(体检标准:机降岗位合格),4,591,42526,,,,,same-row only
118,7877,010805+12,物理,提前本科批,陆军步兵学院,010805,12,作战指挥(特种兵分队指挥军官)(只招男生)(体检标准:特种作战岗位合格),3,,,,,,,same-row only
119,7879,010806+13,物理,提前本科批,陆军步兵学院,010806,13,装甲车辆工程(装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),8,595,38686,585,42594,586,42828,same-row only
120,7882,011401+01,物理,提前本科批,陆军兵种大学,011401,01,作战指挥(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),1,600,33986,,,,,same-row only
121,7883,011401+02,物理,提前本科批,陆军兵种大学,011401,02,作战指挥(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),3,604,30493,,,,,same-row only
122,7884,011401+03,物理,提前本科批,陆军兵种大学,011401,03,侦察情报(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),2,,,,,,,same-row only
123,7885,011401+04,物理,提前本科批,陆军兵种大学,011401,04,侦察情报(弹炮结合分队指挥军官)(只招男生)(体检标准:通用标准合格),1,602,32191,,,,,same-row only
124,7886,011401+05,物理,提前本科批,陆军兵种大学,011401,05,火力指挥与控制工程(弹炮结合分队指挥军官)(只招男生)(体检标准:通用标准合格),1,,,595,33981,591,38768,same-row only
125,7887,011401+06,物理,提前本科批,陆军兵种大学,011401,06,火力指挥与控制工程(远程火箭炮分队指挥军官)(只招男生)(体检标准:通用标准合格),1,606,28842,591,37358,590,39519,same-row only
126,7888,011401+07,物理,提前本科批,陆军兵种大学,011401,07,装备保障(海军陆战队装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,603,31363,,,,,same-row only
127,7889,011401+08,物理,提前本科批,陆军兵种大学,011401,08,装备保障(装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,605,29639,598,31528,589,40322,same-row only
128,7890,011401+09,物理,提前本科批,陆军兵种大学,011401,09,指挥信息系统工程(炮兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),3,600,33986,600,29983,592,37932,same-row only
129,7891,011401+10,物理,提前本科批,陆军兵种大学,011401,10,雷达工程(防空兵保障分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),2,601,33070,,,592,37932,same-row only
130,7892,011401+11,物理,提前本科批,陆军兵种大学,011401,11,导弹工程(防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),3,601,33070,591,37358,,,same-row only
131,7893,011401+12,物理,提前本科批,陆军兵种大学,011401,12,导弹工程(反坦克导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),4,,,590,38211,589,40322,same-row only
132,7894,011401+13,物理,提前本科批,陆军兵种大学,011401,13,导弹工程(防空导弹分队指挥警官)(只招男生)(体检标准:通用标准合格),1,604,30493,,,589,40322,same-row only
133,7895,011401+14,物理,提前本科批,陆军兵种大学,011401,14,导弹工程(海军陆战队防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
134,7896,011401+15,物理,提前本科批,陆军兵种大学,011401,15,无人装备工程(装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),1,,,606,25606,590,39519,same-row only
135,7897,011401+16,物理,提前本科批,陆军兵种大学,011401,16,仿真工程(炮兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),2,600,33986,,,,,same-row only
136,7898,011401+17,物理,提前本科批,陆军兵种大学,011401,17,仿真工程(防空兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),2,600,33986,,,,,same-row only
137,7899,011401+18,物理,提前本科批,陆军兵种大学,011401,18,反无人技术与指挥(防空兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),1,,,,,,,same-row only
138,7900,011401+19,物理,提前本科批,陆军兵种大学,011401,19,管理科学(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),2,,,,,,,same-row only
139,7902,011402+20,物理,提前本科批,陆军兵种大学,011402,20,作战指挥(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),3,602,32191,600,29983,,,same-row only
140,7903,011402+21,物理,提前本科批,陆军兵种大学,011402,21,无人系统指挥与控制(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),4,600,33986,,,,,same-row only
141,7904,011402+22,物理,提前本科批,陆军兵种大学,011402,22,侦察情报(装甲侦察分队指挥军官)(只招男生)(体检标准:装甲岗位合格),2,599,34889,,,,,same-row only
142,7905,011402+23,物理,提前本科批,陆军兵种大学,011402,23,火力指挥与控制工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),1,,,,,595,35651,same-row only
143,7906,011402+24,物理,提前本科批,陆军兵种大学,011402,24,指挥信息系统工程(装甲兵指控通信分队指挥军官)(只招男生)(体检标准:装甲岗位合格),3,600,33986,595,33981,592,37932,same-row only
144,7907,011402+25,物理,提前本科批,陆军兵种大学,011402,25,管理科学(装甲步兵分队指挥警官)(只招男生)(体检标准:装甲岗位合格),1,599,34889,,,,,same-row only
145,7908,011402+26,物理,提前本科批,陆军兵种大学,011402,26,管理科学(装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),1,,,,,,,same-row only
146,7910,011403+27,物理,提前本科批,陆军兵种大学,011403,27,作战指挥(特种兵分队指挥军官)(只招男生)(体检标准:特种作战岗位合格),2,594,39621,,,,,same-row only
147,7912,011404+28,物理,提前本科批,陆军兵种大学,011404,28,作战指挥(特种兵分队指挥军官)(只招女生)(体检标准:特种作战岗位合格),1,,,,,,,same-row only
