current_key,legacy_key,status,confidence,group25,group26,common_count,add_count,remove_count,in_count,out_count,advice
历史|本科批|江苏师范大学|江苏师范大学09,历史|普通批|江苏师范大学|江苏师范大学09,26新增组/无25承接,低,,江苏师范大学09,2,4,0,2,0,重点核对
历史|本科批|江苏师范大学|江苏师范大学10,历史|普通批|江苏师范大学|江苏师范大学10,高度延续,高,江苏师范大学04,江苏师范大学10,1,0,0,0,0,常规核对
历史|本科批|江苏师范大学|江苏师范大学11,历史|普通批|江苏师范大学|江苏师范大学11,疑似对应/待核对,低,江苏师范大学05,江苏师范大学11,0,1,2,0,0,重点核对
物理|本科批|江苏师范大学|江苏师范大学13,物理|普通批|江苏师范大学|江苏师范大学13,26新增组/无25承接,低,,江苏师范大学13,0,1,0,1,0,重点核对
物理|本科批|江苏师范大学|江苏师范大学14,物理|普通批|江苏师范大学|江苏师范大学14,由25大组拆分形成,低,江苏师范大学09,江苏师范大学14,1,0,25,0,23,重点核对
物理|本科批|江苏师范大学|江苏师范大学15,物理|普通批|江苏师范大学|江苏师范大学15,由25大组拆分形成,低,江苏师范大学09,江苏师范大学15,1,0,25,0,23,重点核对
物理|本科批|江苏师范大学|江苏师范大学16,物理|普通批|江苏师范大学|江苏师范大学16,疑似对应/待核对,低,江苏师范大学09,江苏师范大学16,2,3,24,0,19,重点核对
物理|本科批|江苏师范大学|江苏师范大学17,物理|普通批|江苏师范大学|江苏师范大学17,由25大组拆分形成,低,江苏师范大学09,江苏师范大学17,3,0,23,0,21,重点核对
物理|本科批|江苏师范大学|江苏师范大学18,物理|普通批|江苏师范大学|江苏师范大学18,由25大组拆分形成,中低,江苏师范大学09,江苏师范大学18,4,1,22,0,19,重点核对
物理|本科批|江苏师范大学|江苏师范大学19,物理|普通批|江苏师范大学|江苏师范大学19,由25大组拆分形成,低,江苏师范大学09,江苏师范大学19,3,3,23,0,18,重点核对
物理|本科批|江苏师范大学|江苏师范大学20,物理|普通批|江苏师范大学|江苏师范大学20,26新增组/无25承接,低,,江苏师范大学20,2,4,0,2,0,重点核对
物理|本科批|江苏师范大学|江苏师范大学21,物理|普通批|江苏师范大学|江苏师范大学21,疑似对应/待核对,中低,江苏师范大学10,江苏师范大学21,0,1,1,1,1,重点核对
物理|本科批|江苏师范大学|江苏师范大学22,物理|普通批|江苏师范大学|江苏师范大学22,26新增组/无25承接,低,,江苏师范大学22,0,1,0,1,0,重点核对
物理|本科批|江苏师范大学|江苏师范大学23,物理|普通批|江苏师范大学|江苏师范大学23,由25大组拆分形成,低,江苏师范大学11,江苏师范大学23,1,0,21,0,21,重点核对
物理|本科批|江苏师范大学|江苏师范大学24,物理|普通批|江苏师范大学|江苏师范大学24,26新增组/无25承接,低,,江苏师范大学24,1,3,0,3,0,重点核对
物理|本科批|江苏师范大学|江苏师范大学25,物理|普通批|江苏师范大学|江苏师范大学25,由25大组拆分形成,中低,江苏师范大学06,江苏师范大学25,5,1,8,1,8,重点核对
物理|本科批|江苏师范大学|江苏师范大学26,物理|普通批|江苏师范大学|江苏师范大学26,由25大组拆分形成,低,江苏师范大学11,江苏师范大学26,4,1,18,0,18,重点核对
物理|本科批|江苏师范大学|江苏师范大学27,物理|普通批|江苏师范大学|江苏师范大学27,由25大组拆分形成,低,江苏师范大学11,江苏师范大学27,3,1,19,0,18,重点核对
