身份键(院校专业组代码+专业代码),科类,批次,院校,专业组,专业代码,专业全称,25最低分,25最低位次,Excel行号
010201+01,历史,提前批,国防科技大学,国防科技大学01,01,日语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,4
010201+02,历史,提前批,国防科技大学,国防科技大学01,02,马来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,5
010201+03,历史,提前批,国防科技大学,国防科技大学01,03,希伯来语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,6
010201+04,历史,提前批,国防科技大学,国防科技大学01,04,葡萄牙语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,7
010202+05,历史,提前批,国防科技大学,国防科技大学02,05,乌尔都语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),,,8
010203+06,历史,提前批,国防科技大学,国防科技大学03,06,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),636,776,9
010203+07,历史,提前批,国防科技大学,国防科技大学03,07,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),634,890,10
010203+08,历史,提前批,国防科技大学,国防科技大学03,08,思想政治教育(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),,,11
010203+09,历史,提前批,国防科技大学,国防科技大学03,09,马克思主义理论(政治工作初级指挥军官)(只招男生)(体检标准:通用标准合格),,,12
010204+10,物理,提前批,国防科技大学,国防科技大学04,10,英语(军事翻译、军事外语技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,13
010204+11,物理,提前批,国防科技大学,国防科技大学04,11,管理科学(指挥勤务保障初级技术军官)(只招男生)(体检标准:通用标准合格),646,5311,14
010204+12,物理,提前批,国防科技大学,国防科技大学04,12,大数据管理与应用(数据管理与应用初级技术军官)(只招男生)(体检标准:通用标准合格),641,7122,15
010205+13,物理,提前批,国防科技大学,国防科技大学05,13,日语(军事翻译、军事外语技术初级技术军官)(只招女生)(体检标准:通用标准合格),,,16
010205+14,物理,提前批,国防科技大学,国防科技大学05,14,管理科学(指挥勤务保障初级技术军官)(只招女生)(体检标准:通用标准合格),,,17
010206+15,物理,提前批,国防科技大学,国防科技大学06,15,数学与应用数学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),649,4364,18
010206+16,物理,提前批,国防科技大学,国防科技大学06,16,物理学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),649,4364,19
010206+17,物理,提前批,国防科技大学,国防科技大学06,17,大气科学类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,20
010206+18,物理,提前批,国防科技大学,国防科技大学06,18,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),644,5986,21
010206+19,物理,提前批,国防科技大学,国防科技大学06,19,海洋技术(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),,,22
010206+20,物理,提前批,国防科技大学,国防科技大学06,20,应用统计学(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,23
010206+21,物理,提前批,国防科技大学,国防科技大学06,21,理论与应用力学(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),647,4974,24
010206+22,物理,提前批,国防科技大学,国防科技大学06,22,机械工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,25
010206+23,物理,提前批,国防科技大学,国防科技大学06,23,测控技术与仪器(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),,,26
010206+24,物理,提前批,国防科技大学,国防科技大学06,24,材料科学与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),651,3806,27
010206+25,物理,提前批,国防科技大学,国防科技大学06,25,纳米材料与技术(新兴高技术初级技术军官)(只招另生)(体检标准:通用标准合格),,,28
010206+26,物理,提前批,国防科技大学,国防科技大学06,26,微电子科学与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),654,3082,29
010206+27,物理,提前批,国防科技大学,国防科技大学06,27,海洋信息工程(战场环境保障、武器研发初级技术军官)(只招男生)(体检标准:通用标准合格),649,4364,30
010206+28,物理,提前批,国防科技大学,国防科技大学06,28,计算机科学与技术(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),672,507,31
010206+29,物理,提前批,国防科技大学,国防科技大学06,29,网络工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),643,6363,32
010206+30,物理,提前批,国防科技大学,国防科技大学06,30,信息安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),663,1382,33
010206+31,物理,提前批,国防科技大学,国防科技大学06,31,数据科学与大数据技术(信息数据保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,34
010206+32,物理,提前批,国防科技大学,国防科技大学06,32,网络空间安全(网络信息防御、通信初级技术军官)(只招男生)(体检标准:通用标准合格),658,2210,35
010206+33,物理,提前批,国防科技大学,国防科技大学06,33,导航工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),653,3282,36
010206+34,物理,提前批,国防科技大学,国防科技大学06,34,航空航天类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),658,2210,37
010206+35,物理,提前批,国防科技大学,国防科技大学06,35,武器系统与工程(武器研发试验、技术保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,38
010206+36,物理,提前批,国防科技大学,国防科技大学06,36,无人系统指挥与控制(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),653,3282,39
010206+37,物理,提前批,国防科技大学,国防科技大学06,37,预警探测(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),655,2848,40
010206+38,物理,提前批,国防科技大学,国防科技大学06,38,侦察情报(情报分析整编、图像判读初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),640,7530,41
010206+39,物理,提前批,国防科技大学,国防科技大学06,39,侦察情报(网电情报分析初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),643,6363,42
010206+40,物理,提前批,国防科技大学,国防科技大学06,40,任务规划(任务规划初级技术军官)(只招男生)(体检标准:通用标准合格),648,4676,43
010206+41,物理,提前批,国防科技大学,国防科技大学06,41,装备试验系统工程(装备试验初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),647,4974,44
010206+42,物理,提前批,国防科技大学,国防科技大学06,42,指挥信息系统工程(指挥信息保障初级技术军官)(只招男生)(体检标准:通用标准合格),645,5634,45
010206+43,物理,提前批,国防科技大学,国防科技大学06,43,卫星互联网工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),654,3082,46
010206+44,物理,提前批,国防科技大学,国防科技大学06,44,导弹工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),653,3282,47
010206+45,物理,提前批,国防科技大学,国防科技大学06,45,无人装备工程(无人装备初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),,,48
010206+46,物理,提前批,国防科技大学,国防科技大学06,46,仿真工程(试验仿真初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),655,2848,49
010206+47,物理,提前批,国防科技大学,国防科技大学06,47,新概念武器技术与工程(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格),653,3282,50
010207+48,物理,提前批,国防科技大学,国防科技大学07,48,光电信息科学与工程(光电对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),669,729,51
010207+49,物理,提前批,国防科技大学,国防科技大学07,49,信息对抗技术(电子对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),642,6733,52
010207+50,物理,提前批,国防科技大学,国防科技大学07,50,作战指挥(电子对抗作战指挥初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),641,7122,53
010207+51,物理,提前批,国防科技大学,国防科技大学07,51,网电指挥与工程(电子对抗、网络安全初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),644,5986,54
010207+52,物理,提前批,国防科技大学,国防科技大学07,52,雷达工程(电子对抗初级指挥与技术军官)(只招男生)(体检标准:电子对抗岗位合格),642,6733,55
010208+53,物理,提前批,国防科技大学,国防科技大学08,53,电子信息工程(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),645,5634,56
010208+54,物理,提前批,国防科技大学,国防科技大学08,54,电子科学与技术(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),651,3806,57
010208+55,物理,提前批,国防科技大学,国防科技大学08,55,通信工程(通信初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),644,5986,58
010209+56,物理,提前批,国防科技大学,国防科技大学09,56,大气科学类(战场环境保障、武器研发初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),,,59
010209+57,物理,提前批,国防科技大学,国防科技大学09,57,物联网工程(新兴高技术初级技术军官)(只招女生)(体检标准:通用标准合格),,,60
010210+58,物理,提前批,国防科技大学,国防科技大学10,58,外交学(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),,,61
010210+59,物理,提前批,国防科技大学,国防科技大学10,59,国际事务与国际关系(军事外交初级指挥军官)(只招男生)(体检标准:通用标准合格),,,62
010501+01,物理,提前批,陆军工程大学,陆军工程大学01,01,作战指挥(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),617,20350,63
010501+02,物理,提前批,陆军工程大学,陆军工程大学01,02,作战指挥(工兵分队指挥军官)(只招男生)(体检标准:通用标准合格),613,23215,64
010501+03,物理,提前批,陆军工程大学,陆军工程大学01,03,无人系统指挥与控制(无人机运用与指挥初级指挥军官)(只招男生)(体检标准:通用标准合格),620,18320,65
010501+04,物理,提前批,陆军工程大学,陆军工程大学01,04,无人系统指挥与控制(无人破障初级指挥军官)(只招男生)(体检标准:通用标准合格),,,66
010501+05,物理,提前批,陆军工程大学,陆军工程大学01,05,侦察情报(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),613,23215,67
010501+06,物理,提前批,陆军工程大学,陆军工程大学01,06,军事设施工程(工程建筑、维护分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),618,19675,68
010501+07,物理,提前批,陆军工程大学,陆军工程大学01,07,装备保障(通用装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,69
010501+08,物理,提前批,陆军工程大学,陆军工程大学01,08,装备经济管理(装备采购、审价、项目管理初级技术军官)(只招男生)(体检标准:通用标准合格),629,12830,70
010501+09,物理,提前批,陆军工程大学,陆军工程大学01,09,地雷爆破与破障工程(地雷爆破与破障分队指挥警官)(只招男生)(体检标准:通用标准合格),614,22496,71
010501+10,物理,提前批,陆军工程大学,陆军工程大学01,10,地雷爆破与破障工程(地雷爆破与破障分队指挥军官)(只招男生)(体检标准:通用标准合格),609,26331,72
010501+11,物理,提前批,陆军工程大学,陆军工程大学01,11,伪装与防护工程(伪装分队指挥军官)(只招男生)(体检标准:通用标准合格),617,20350,73
010501+12,物理,提前批,陆军工程大学,陆军工程大学01,12,航空电子电气工程(航电初级技术军官)(只招男生)(体检标准:通用标准合格),630,12321,74
010501+13,物理,提前批,陆军工程大学,陆军工程大学01,13,无人装备工程(无人装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,75
010502+14,物理,提前批,陆军工程大学,陆军工程大学02,14,作战指挥(船艇初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),612,23948,76
010503+15,物理,提前批,陆军工程大学,陆军工程大学03,15,指挥信息系统工程(指挥信息系统工程初级技术军官)(只招男生)(体检标准:通信导航岗位合格),,,77
010504+16,物理,提前批,陆军工程大学,陆军工程大学04,16,机械工程(工程机械装备维修与管理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),612,23948,78
010504+17,物理,提前批,陆军工程大学,陆军工程大学04,17,土木工程(防护工程构筑分队指挥军官)(只招男生)(体检标准:通用标准合格),619,19005,79
010504+18,物理,提前批,陆军工程大学,陆军工程大学04,18,道路桥梁与渡河工程(道路桥梁舟桥和卸载初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),607,27966,80
010504+19,物理,提前批,陆军工程大学,陆军工程大学04,19,飞行器设计与工程(航空机械初级技术军官)(只招男生)(体检标准:通用标准合格),613,23215,81
010504+20,物理,提前批,陆军工程大学,陆军工程大学04,20,武器系统与工程(航空军械初级技术军官)(只招男生)(体检标准:通用标准合格),622,17029,82
010504+21,物理,提前批,陆军工程大学,陆军工程大学04,21,武器系统与工程(武器装备维修与管理初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),611,24770,83
010504+22,物理,提前批,陆军工程大学,陆军工程大学04,22,弹药工程与爆炸技术(弹药保障初级指挥与技术军官)(只招男生)(体检标准:通用标准合格),607,27966,84
010504+23,物理,提前批,陆军工程大学,陆军工程大学04,23,作战环境工程(野战给水分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),,,85
010505+24,物理,提前批,陆军工程大学,陆军工程大学05,24,电子信息工程(信号分析、频谱管控初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),625,15100,86
010505+25,物理,提前批,陆军工程大学,陆军工程大学05,25,通信工程(机动通信、数据链系统初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),622,17029,87
010505+26,物理,提前批,陆军工程大学,陆军工程大学05,26,网络工程(网络工程初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),628,13360,88
010505+27,物理,提前批,陆军工程大学,陆军工程大学05,27,信息安全(信息安全初级指挥与技术军官)(只招男生)(体检标准:通信导航岗位合格),626,14488,89
010505+28,物理,提前批,陆军工程大学,陆军工程大学05,28,数据科学与大数据技术(数据科学与大数据技术初级技术军官)(只招男生)(体检标准:通信导航岗位合格),622,17029,90
010505+29,物理,提前批,陆军工程大学,陆军工程大学05,29,网络空间安全(网络空间安全初级技术军官)(只招男生)(体检标准:通信导航岗位合格),623,16380,91
010506+30,物理,提前批,陆军工程大学,陆军工程大学06,30,航海技术(卸载转运初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),,,92
010506+31,物理,提前批,陆军工程大学,陆军工程大学06,31,航海技术(舰艇航通初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),607,27966,93
010506+32,物理,提前批,陆军工程大学,陆军工程大学06,32,轮机工程(船艇机电部门初级指挥军官)(只招男生)(体检标准:舰艇岗位合格),611,24770,94
010507+33,物理,提前批,陆军工程大学,陆军工程大学07,33,通信工程(机动通信、数据链系统初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),643,6363,95
010507+34,物理,提前批,陆军工程大学,陆军工程大学07,34,网络工程(网络工程初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),,,96
010507+35,物理,提前批,陆军工程大学,陆军工程大学07,35,信息安全(信息安全初级指挥与技术军官)(只招女生)(体检标准:通信导航岗位合格),623,16380,97
010507+36,物理,提前批,陆军工程大学,陆军工程大学07,36,智能无人系统技术(智能无人系统工程初级技术军官)(只招女生)(体检标准:通信导航岗位合格),622,17029,98
010508+37,物理,提前批,陆军工程大学,陆军工程大学08,37,新能源科学与工程(电能保障、能源安全防护初级指挥与技术军官)(只招女生)(体检标准:通用标准合格),,,99
010509+38,物理,普通批,陆军工程大学,陆军工程大学09,38,"建筑学(全国人防工程建筑设计工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件且为中共党员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",600,33986,100
010509+39,物理,普通批,陆军工程大学,陆军工程大学09,39,"工程管理(全国人防建筑施工组织管理与监理工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件且为中共党员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",598,35804,101
010510+40,物理,普通批,陆军工程大学,陆军工程大学10,40,"电气工程及其自动化(全国人防电力工程及自动化技术工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",601,33070,102
010510+41,物理,普通批,陆军工程大学,陆军工程大学10,41,"通信工程(全国人防通信领域工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",606,28842,103
010510+42,物理,普通批,陆军工程大学,陆军工程大学10,42,"网络工程(全国人防指挥自动化技术工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",600,33986,104
010510+43,物理,普通批,陆军工程大学,陆军工程大学10,43,"土木工程(金国人防工程建筑结构设计与施工工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",599,34889,105
010510+44,物理,普通批,陆军工程大学,陆军工程大学10,44,"建筑环境与能源应用工程(全国人防通风空调与给排水工程师)(只招英语考生)(以下专业为全国人防系统定向招生,招生对象应符合生源地高考报名条件具为中共堂员或者共青团员的普通高中应届毕业生,学员入校后不参军,毕业后面向人防系统自主就业,入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册)",595,38686,106
010801+01,历史,提前批,陆军步兵学院,陆军步兵学院01,01,汉语言文学(边防分队指挥军官)(只招男生)(体检标准:通用标准合格),,,107
010802+02,历史,提前批,陆军步兵学院,陆军步兵学院02,02,汉语言文学(边防分队指挥军官)(只招女生)(体检标准:通用标准合格),612,3262,108
010803+03,物理,提前批,陆军步兵学院,陆军步兵学院03,03,作战指挥(海军陆战队警卫勤务分队指挥军官)(只招男生)(体检标准:通用标准合格),596,37721,109
010803+04,物理,提前批,陆军步兵学院,陆军步兵学院03,04,作战指挥(步兵侦察分队指挥军官)(只招男生)(体检标准:通用标准合格),596,37721,110
010803+05,物理,提前批,陆军步兵学院,陆军步兵学院03,05,作战指挥(边防分队指挥军官)(只招男生)(体检标准:通用标准合格),,,111
010803+06,物理,提前批,陆军步兵学院,陆军步兵学院03,06,作战指挥(警卫勤务分队指挥军官)(只招男生)(体检标准:通用标准合格),596,37721,112
010803+07,物理,提前批,陆军步兵学院,陆军步兵学院03,07,作战指挥(摩托化步兵分队指挥军官)(只招男生)(体检标准:通用标准合格),,,113
010803+08,物理,提前批,陆军步兵学院,陆军步兵学院03,08,作战指挥(轻便炮兵分队指挥警官)(只招男生)(体检标准:通用标准合格),,,114
010803+09,物理,提前批,陆军步兵学院,陆军步兵学院03,09,作战指挥(轻便炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),596,37721,115
010803+10,物理,提前批,陆军步兵学院,陆军步兵学院03,10,指挥信息系统工程(轻高机、空突步兵分队指挥军官)(只招男生)(体检标准:通用标准合格),597,36725,116
010804+11,物理,提前批,陆军步兵学院,陆军步兵学院04,11,作战指挥(空降兵初级指挥军官)(只招男生)(体检标准:机降岗位合格),591,42526,117
010805+12,物理,提前批,陆军步兵学院,陆军步兵学院05,12,作战指挥(特种兵分队指挥军官)(只招男生)(体检标准:特种作战岗位合格),,,118
010806+13,物理,提前批,陆军步兵学院,陆军步兵学院06,13,装甲车辆工程(装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),595,38686,119
011401+01,物理,提前批,陆军兵种大学,陆军兵种大学01,01,作战指挥(侦察兵分队指挥军官(特种作战侦察))(只招男生)(体检标准:通用标准合格),600,33986,120
011401+02,物理,提前批,陆军兵种大学,陆军兵种大学01,02,作战指挥(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),604,30493,121
011401+03,物理,提前批,陆军兵种大学,陆军兵种大学01,03,侦察情报(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),,,122
011401+04,物理,提前批,陆军兵种大学,陆军兵种大学01,04,侦察情报(弹炮结合分队指挥军官)(只招男生)(体检标准:通用标准合格),602,32191,123
011401+05,物理,提前批,陆军兵种大学,陆军兵种大学01,05,火力指挥与控制工程(弹炮结合分队指挥军官)(只招男生)(体检标准:通用标准合格),,,124
011401+06,物理,提前批,陆军兵种大学,陆军兵种大学01,06,火力指挥与控制工程(远程火箭炮分队指挥军官)(只招男生)(体检标准:通用标准合格),606,28842,125
011401+07,物理,提前批,陆军兵种大学,陆军兵种大学01,07,装备保障(海军陆战队装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),603,31363,126
011401+08,物理,提前批,陆军兵种大学,陆军兵种大学01,08,装备保障(装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),605,29639,127
011401+09,物理,提前批,陆军兵种大学,陆军兵种大学01,09,指挥信息系统工程(炮兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),600,33986,128
011401+10,物理,提前批,陆军兵种大学,陆军兵种大学01,10,雷达工程(防空兵保障分队指挥与技术军官)(只招男生)(体检标准:通用标准合格),601,33070,129
011401+11,物理,提前批,陆军兵种大学,陆军兵种大学01,11,导弹工程(防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),601,33070,130
011401+12,物理,提前批,陆军兵种大学,陆军兵种大学01,12,导弹工程(反坦克导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),,,131
011401+13,物理,提前批,陆军兵种大学,陆军兵种大学01,13,导弹工程(防空导弹分队指挥警官)(只招男生)(体检标准:通用标准合格),604,30493,132
011401+14,物理,提前批,陆军兵种大学,陆军兵种大学01,14,导弹工程(海军陆战队防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),,,133
011401+15,物理,提前批,陆军兵种大学,陆军兵种大学01,15,无人装备工程(装甲装备保障初级技术军官)(只招男生)(体检标准:通用标准合格),,,134
011401+16,物理,提前批,陆军兵种大学,陆军兵种大学01,16,仿真工程(炮兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),600,33986,135
011401+17,物理,提前批,陆军兵种大学,陆军兵种大学01,17,仿真工程(防空兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),600,33986,136
011401+18,物理,提前批,陆军兵种大学,陆军兵种大学01,18,反无人技术与指挥(防空兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),,,137
011401+19,物理,提前批,陆军兵种大学,陆军兵种大学01,19,管理科学(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),,,138
011402+20,物理,提前批,陆军兵种大学,陆军兵种大学02,20,作战指挥(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),602,32191,139
011402+21,物理,提前批,陆军兵种大学,陆军兵种大学02,21,无人系统指挥与控制(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),600,33986,140
011402+22,物理,提前批,陆军兵种大学,陆军兵种大学02,22,侦察情报(装甲侦察分队指挥军官)(只招男生)(体检标准:装甲岗位合格),599,34889,141
011402+23,物理,提前批,陆军兵种大学,陆军兵种大学02,23,火力指挥与控制工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),,,142
011402+24,物理,提前批,陆军兵种大学,陆军兵种大学02,24,指挥信息系统工程(装甲兵指控通信分队指挥军官)(只招男生)(体检标准:装甲岗位合格),600,33986,143
011402+25,物理,提前批,陆军兵种大学,陆军兵种大学02,25,管理科学(装甲步兵分队指挥警官)(只招男生)(体检标准:装甲岗位合格),599,34889,144
011402+26,物理,提前批,陆军兵种大学,陆军兵种大学02,26,管理科学(装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),,,145
011403+27,物理,提前批,陆军兵种大学,陆军兵种大学03,27,作战指挥(特种兵分队指挥军官)(只招男生)(体检标准:特种作战岗位合格),594,39621,146
011404+28,物理,提前批,陆军兵种大学,陆军兵种大学04,28,作战指挥(特种兵分队指挥军官)(只招女生)(体检标准:特种作战岗位合格),,,147
011405+29,物理,提前批,陆军兵种大学,陆军兵种大学05,29,无人系统指挥与控制(炮兵保障分队指挥军官)(只招女生)(体检标准:通用标准合格),,,148
011406+30,物理,提前批,陆军兵种大学,陆军兵种大学06,30,机械工程(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),602,32191,149
011406+31,物理,提前批,陆军兵种大学,陆军兵种大学06,31,电气工程及其自动化(远程火箭炮分队指挥军官)(只招男生)(体检标准:通用标准合格),606,28842,150
011406+32,物理,提前批,陆军兵种大学,陆军兵种大学06,32,通信工程(炮兵保障分队指挥军官)(只招男生)(体检标准:通用标准合格),607,27966,151
011406+33,物理,提前批,陆军兵种大学,陆军兵种大学06,33,计算机科学与技术(防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),604,30493,152
011406+34,物理,提前批,陆军兵种大学,陆军兵种大学06,34,计算机科学与技术(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),602,32191,153
011406+35,物理,提前批,陆军兵种大学,陆军兵种大学06,35,武器系统与工程(空降兵炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),602,32191,154
011406+36,物理,提前批,陆军兵种大学,陆军兵种大学06,36,武器系统与工程(海军陆战队炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),604,30493,155
011406+37,物理,提前批,陆军兵种大学,陆军兵种大学06,37,武器系统与工程(弹炮结合分队指挥军官)(只招男生)(体检标准:通用标准合格),600,33986,156
011406+38,物理,提前批,陆军兵种大学,陆军兵种大学06,38,弹药工程与爆炸技术(防空导弹分队指挥军官)(只招男生)(体检标准:通用标准合格),603,31363,157
011406+39,物理,提前批,陆军兵种大学,陆军兵种大学06,39,弹药工程与爆炸技术(炮兵分队指挥军官)(只招男生)(体检标准:通用标准合格),601,33070,158
011407+40,物理,提前批,陆军兵种大学,陆军兵种大学07,40,车辆工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),603,31363,159
011407+41,物理,提前批,陆军兵种大学,陆军兵种大学07,41,材料科学与工程(海军陆战队装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),601,33070,160
011407+42,物理,提前批,陆军兵种大学,陆军兵种大学07,42,材料科学与工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),,,161
011407+43,物理,提前批,陆军兵种大学,陆军兵种大学07,43,电气工程与智能控制(装甲步兵分队指挥警官)(只招男生)(体检标准:装甲岗位合格),598,35804,162
011407+44,物理,提前批,陆军兵种大学,陆军兵种大学07,44,通信工程(坦克装甲突击分队指挥军官)(只招男生)(体检标准:装甲岗位合格),599,34889,163
011407+45,物理,提前批,陆军兵种大学,陆军兵种大学07,45,光电信息科学与工程(装甲侦察分队指挥军官)(只招男生)(体检标准:装甲岗位合格),605,29639,164
011407+46,物理,提前批,陆军兵种大学,陆军兵种大学07,46,武器系统与工程(装甲步兵分队指挥军官)(只招男生)(体检标准:装甲岗位合格),598,35804,165
012001+01,物理,提前批,陆军防化学院,陆军防化学院01,01,作战指挥(防化分队指挥军官)(只招男生)(体检标准:防化岗位合格),597,36725,166
012001+02,物理,提前批,陆军防化学院,陆军防化学院01,02,化学防护与安全(化学防护分队指挥与技术军官)(只招男生)(体检标准:防化岗位合格),,,167
012002+03,物理,提前批,陆军防化学院,陆军防化学院02,03,辐射防护与核安全(核防护分队指挥与技术军官)(只招女生)(体检标准:防化岗位合格),612,23948,168
012101+01,物理,提前批,联勤保障部队工程大学,联勤保障部队工程大学01,01,作战指挥(汽车运输分队指挥军官)(只招男生)(体检标准:通用标准合格),,,169
