"学校","专业组","专业代码","专业名称","专业类","梯队","桶","严格提示类型"
"南阳师范学院","南阳师范学院06","15","测绘工程(以下专业除注明外在卧龙校区学习)","测绘类","4","低热度远缘方向","低热度远缘"
"南阳师范学院","南阳师范学院06","16","遥感科学与技术(以下专业除注明外在卧龙校区学习)","测绘类","4","低热度远缘方向","低热度远缘"
"南阳师范学院","南阳师范学院06","17","应用化学(以下专业除注明外在卧龙校区学习)","化学类","4","低热度远缘方向","理学基础"
"南阳师范学院","南阳师范学院06","18","制药工程(以下专业除注明外在卧龙校区学习)","化工与制药类","3","三梯队行业方向","三梯队"
"南阳师范学院","南阳师范学院06","23","数学与应用数学(师范)(以下专业除注明外在卧龙校区学习)","数学类","2","数学/物理","理学基础"
"南阳师范学院","南阳师范学院06","24","环境科学与工程(第一学年在淅川校区学习,第二学年起在卧龙校区学习)(以下专业除注明外在卧龙校区学习)","环境科学与工程类","4","低热度远缘方向","低热度远缘"
"南阳师范学院","南阳师范学院06","25","水质科学与技术(第一学年在淅川校区学习,第二学年起在卧龙校区学习)(以下专业除注明外在卧龙校区学习)","环境科学与工程类","4","低热度远缘方向","低热度远缘"
"南阳师范学院","南阳师范学院06","26","智能建造(以下专业除注明外在卧龙校区学习)","土木类","4","低热度远缘方向","低热度远缘"
"南阳师范学院","南阳师范学院06","27","物理学(师范)(以下专业除注明外在卧龙校区学习)","物理学类","2","数学/物理","理学基础"
"黄淮学院","黄淮学院05","05","新能源科学与工程(以下专业在校本部学习)","能源动力类","3","三梯队行业方向","能动"
"黄淮学院","黄淮学院05","06","化学工程与工艺(以下专业在校本部学习)","化工与制药类","3","三梯队行业方向","理学基础"
"黄淮学院","黄淮学院05","07","数学与应用数学(师范)(以下专业在校本部学习)","数学类","2","数学/物理","理学基础"
"黄淮学院","黄淮学院05","08","信息与计算科学(以下专业在校本部学习)","数学类","2","数学/物理","理学基础"
"黄淮学院","黄淮学院05","10","土木工程(以下专业在校本部学习)","土木类","4","低热度远缘方向","低热度远缘"
"黄淮学院","黄淮学院05","11","生物工程(以下专业在校本部学习)","生物工程类","4","低热度远缘方向","低热度远缘"
"黄淮学院","黄淮学院05","13","食品质量与安全(以下专业在校本部学习)","食品科学与工程类","4","低热度远缘方向","低热度远缘"
"黄淮学院","黄淮学院05","14","物理学(师范)(以下专业在校本部学习)","物理学类","2","数学/物理","理学基础"
"黄淮学院","黄淮学院05","16","智能建造(以下专业在校本部学习)","土木类","4","低热度远缘方向","低热度远缘"
"黄淮学院","黄淮学院05","17","能源化学工程(以下专业在校本部学习)","化工与制药类","3","三梯队行业方向","理学基础"
"商丘师范学院","商丘师范学院04","18","数学与应用数学(师范)(以下专业除注明外在睢阳校区学习)","数学类","2","数学/物理","理学基础"
"商丘师范学院","商丘师范学院04","20","物理学(师范)(以下专业除注明外在睢阳校区学习)","物理学类","2","数学/物理","理学基础"
"商丘师范学院","商丘师范学院04","26","化学(师范)(以下专业除注明外在睢阳校区学习)","化学类","4","低热度远缘方向","理学基础"
"商丘师范学院","商丘师范学院04","27","材料科学与工程(以下专业除注明外在睢阳校区学习)","材料类","3","三梯队行业方向","材料"
"商丘师范学院","商丘师范学院04","28","材料科学与工程(超硬材料)(以下专业除注明外在睢阳校区学习)","材料类","3","三梯队行业方向","材料"
"商丘师范学院","商丘师范学院04","29","新能源材料与器件(以下专业除注明外在睢阳校区学习)","材料类","3","三梯队行业方向","材料"
"商丘师范学院","商丘师范学院04","30","新能源科学与工程(以下专业除注明外在睢阳校区学习)","能源动力类","3","三梯队行业方向","能动"
"商丘师范学院","商丘师范学院04","31","生物科学(师范)(以下专业除注明外在睢阳校区学习)","生物科学类","4","低热度远缘方向","理学基础"
"商丘师范学院","商丘师范学院04","32","动物科学(以下专业除注明外在睢阳校区学习)","动物生产类","4","低热度远缘方向","低热度远缘"
"商丘师范学院","商丘师范学院04","33","测绘工程(梁园校区)(以下专业除注明外在睢阳校区学习)","测绘类","4","低热度远缘方向","低热度远缘"
"商丘师范学院","商丘师范学院04","37","智能建造(以下专业除注明外在睢阳校区学习)","土木类","4","低热度远缘方向","低热度远缘"
"武汉大学","武汉大学08","24","地球物理学(只录取明确填报该专业志愿的考生)(以下专业与英国杜伦大学联合举办,采取4+0培养模式,学习期间可选择赴杜伦大学交流学习)(中外合作办学)","地球物理学类","2","数学/物理","理学基础"
"武汉大学","武汉大学11","32","物理学(拔尖试验班群)(含物理学(弘毅班)、量子科技自强班)","物理学类","2","数学/物理","理学基础"
"武汉大学","武汉大学11","33","物理学类(物理学、材料物理)(含严济慈班、天文班、高能物理班、半导体班等)(分流时该专业大类内专业任选)","物理学类","2","数学/物理","理学基础"
"武汉大学","武汉大学11","34","化学类(化学(含化生方向)、应用化学)(分流时该专业大类内专业任选)","化学类","4","低热度远缘方向","理学基础"
"武汉大学","武汉大学11","35","智慧城市与空间规划(智慧城市与空间规划、地理信息科学(含时空智能方向)、地理科学(弘毅班))","交叉学科类","4","低热度远缘方向","理学基础"
"武汉大学","武汉大学11","36","地球物理学(数智地空弘毅班)(拔尖人才培养试验班)","地球物理学类","2","数学/物理","理学基础"
"武汉大学","武汉大学11","50","遥感科学与技术(遥感科学与技术、空间信息与数字技术)","测绘类","4","低热度远缘方向","低热度远缘"
"武汉大学","武汉大学11","51","导航工程(智能导航创新班)","测绘类","4","低热度远缘方向","低热度远缘"
"武汉大学","武汉大学11","52","时空信息工程(时空信息工程、导航工程、测绘工程)","测绘类","4","低热度远缘方向","低热度远缘"
"华中科技大学","华中科技大学02","12","化学类(化学、应用化学)(基础学科拔尖学生培养计划2.0基地)(报考该专业有色觉要求,具体请查阅院校招生章程)(高校专项计划)","化学类","4","低热度远缘方向","理学基础"
"华中科技大学","华中科技大学02","13","材料类(材料成型及控制工程、材料科学与工程、电子封装技术)(高校专项计划)","材料类","3","三梯队行业方向","材料"
"华中科技大学","华中科技大学02","14","船舶与海洋工程(高校专项计划)","海洋工程类","3","三梯队行业方向","三梯队"
"华中科技大学","华中科技大学06","28","物理学类(物理学、应用物理学)(基础学科拔尖学生培养计划2.0基地)","物理学类","2","数学/物理","理学基础"
"华中科技大学","华中科技大学06","29","化学类(化学、应用化学)(基础学科拔尖学生培养计划2.0基地)(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","4","低热度远缘方向","理学基础"
"华中科技大学","华中科技大学06","33","材料类(材料成型及控制工程、材料科学与工程、电子封装技术)","材料类","3","三梯队行业方向","材料"
