section,item
重点特殊类型,定向军士男
重点特殊类型,3+2
重点特殊类型,5+0
重点特殊类型,中外合作
重点特殊类型,定向医学
重点特殊类型,司法警察男
重点特殊类型,司法警察女
重点特殊类型,石邮连云港
重点特殊类型,石邮扬州
重点特殊类型,石邮淮安
重点特殊类型,石邮镇江
重点特殊类型,定向军士女
重点特殊类型,石邮南通
重点特殊类型,石邮宿迁
专业大类排序,交通运输大类
专业大类排序,电子与信息大类
专业大类排序,装备制造大类
专业大类排序,医药卫生大类
专业大类排序,财经商贸大类
