reason,subject,school,group,code,name,from_group,plan25,score25,rank25,before_score25,before_rank25
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)02,09,核工程与核技术,华北电力大学(北京)03,7,625,15713,,
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)02,10,水利水电工程,华北电力大学(北京)03,1,627,14487,,
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)02,06,电子信息工程,华北电力大学(北京)03,2,633,11248,,
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)02,08,能源动力类(新能源科学与工程、新能源材料与器件)(新能源),华北电力大学(北京)03,7,627,14487,,
cross_25_exact_name,物理,华北电力大学(北京),华北电力大学(北京)02,07,自动化,华北电力大学(北京)03,4,627,14487,,
cross_25_exact_name,历史,南京农业大学,南京农业大学01,02,"工商管理类(工商管理、市场营销)(报考该专业有色觉要求,具体请查阅院校招生章程)",南京农业大学01,26,595,7023,,
cross_25_exact_name,历史,南京农业大学,南京农业大学01,05,文化遗产,南京农业大学01,8,599,6031,,
cross_25_exact_name,历史,南京农业大学,南京农业大学01,04,日语,南京农业大学01,5,595,7023,,
cross_25_exact_name,历史,南京农业大学,南京农业大学01,03,英语(只招英语考生),南京农业大学01,8,596,6765,,
cross_25_exact_name,历史,南京农业大学,南京农业大学01,01,风景园林,南京农业大学01,15,595,7023,,
cross_25_exact_name,物理,厦门大学,厦门大学04,16,物理学类(物理学、天文学)(分流时本专业类内专业任选。入校后可选拔进入萨本栋物理学国家级拔尖学生培养基地、天文学拔尖学生培养基地)(思明校区),厦门大学07,5,641,7529,,
cross_25_exact_name,物理,吉林大学,吉林大学08,16,勘查技术与工程(按大类招生)(含勘查技术与工程、地球物理学、地理信息科学、测绘工程)(类内专业分流任选)(100%按照学生意愿分流)(前卫南区),吉林大学07,2,628,13915,,
cross_25_exact_name,物理,吉林大学,吉林大学08,17,药学(前卫南区),吉林大学07,3,626,15099,,
cross_25_exact_name,物理,哈尔滨工程大学,哈尔滨工程大学04,08,"大数据管理与应用(报考该专业有色觉要求,具体请查阅院校招生章程)",哈尔滨工程大学04,1,637,9279,,
cross_25_exact_name,物理,哈尔滨工程大学,哈尔滨工程大学04,10,新能源材料与器件,哈尔滨工程大学04,2,637,9279,,
cross_25_exact_name,物理,哈尔滨工程大学,哈尔滨工程大学04,09,材料科学与工程,哈尔滨工程大学16,1,639,8362,,
cross_25_exact_name,物理,复旦大学,复旦大学05,20,经济管理试验班(统计、运筹与AI)[统计学、财务管理、信息管理与信息系统(商业AI应用、AI系统开发)、会计学、市场营销、工商管理(战略管理、国际经营、人力资源)、管理科学(智能决策、智慧供应链)][含管理科学与商业智能卓研博英班;含财务管理(金融与财务)+人工智能、市场营销+人工智能双学士学位],复旦大学04,1,673,506,,
cross_25_exact_name,物理,复旦大学,复旦大学05,19,金融科技(全英文课程班),复旦大学04,1,672,570,,
cross_25_unique_signature,物理,复旦大学医学院,复旦大学医学院01,02,公共事业管理(含公共事业管理拔尖班、菁英班;含公共事业管理+人工智能、公共事业管理+预防医学双学士学位),复旦大学医学院02,1,657,2618,,
cross_25_unique_signature,物理,复旦大学医学院,复旦大学医学院01,03,药学(含创新药物转化、药品监管科学方向)(含药学拔尖班、药学产教融合班;含药学+人工智能、药学+经济学双学士学位),复旦大学医学院02,4,661,1835,,
cross_25_unique_signature,物理,复旦大学医学院,复旦大学医学院01,01,预防医学(含预防医学拔尖班;含预防医学+人工智能、预防医学+公共事业管理双学士学位),复旦大学医学院02,4,658,2414,,
cross_25_exact_name,物理,天津大学,天津大学03,04,"理科试验班(地球系统工程类)(北洋园校区)(地理科学)(含地理科学卓越领军班)(报考该专业有色觉要求,具体请查阅院校招生章程)",天津大学02,12,647,5310,,
cross_25_exact_name,物理,山东大学,山东大学06,15,智能建造与智慧交通,山东大学04,7,638,8837,,
cross_25_exact_name,物理,山东大学,山东大学06,16,药学类[药学、临床药学(五年制)],山东大学07,2,637,9279,,
cross_25_exact_name,物理,广西大学,广西大学01,01,电气工程及其自动化,广西大学01,5,607,28841,,
