key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
物理|本科批|海军军医大学|海军军医大学04,医药护理,医药护理组,低,同族,013104,临床医学类、中医学类
物理|本科批|海军军医大学|海军军医大学05,化材药、生环食品,化材药组（含生物科学）,低,相近混合,013105,中药学类、生物科学类、药学类
物理|本科批|海军军医大学|海军军医大学06,医药护理,护理组,中,同族,013106,护理学类
物理|提前本科批|陆军军医大学|陆军军医大学01,经管商贸,公管组,低,同族,013201,公共管理类
物理|提前本科批|陆军军医大学|陆军军医大学02,医药护理,医药护理组,低,同族,013202,临床医学类、公共卫生与预防医学类、医学技术类
物理|提前本科批|陆军军医大学|陆军军医大学03,医药护理,临床组,低,同族,013203,临床医学类
物理|提前本科批|空军军医大学|空军军医大学01,医药护理,临床口腔组,低,同族,013301,临床医学类、口腔医学类
物理|提前本科批|空军军医大学|空军军医大学02,医药护理,医药护理组,低,同族,013302,临床医学类、公共卫生与预防医学类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学01,带电工科、军警安全,带电+军警混合组,低,跨界混合,013501,电子信息类、计算机类、军事类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学02,带电工科,电子信息组,低,同族,013502,电子信息类
物理|提前本科批|信息支援部队工程大学|信息支援部队工程大学03,带电工科、军警安全,带电+军警混合组,低,跨界混合,013503,计算机类、军事类
物理|提前本科批|海军工程大学|海军工程大学01,理学基础、带电工科、机械能源、军警安全,大理工组,中,大杂烩,013901,物理学类、电子信息类、自动化类、计算机类、核工程类、军事类
物理|提前本科批|海军工程大学|海军工程大学02,机械能源、带电工科、交通航空、军警安全,大理工组,中,大杂烩,013902,能源动力类、电气类、交通运输类、海洋工程类、军事类
物理|提前本科批|海军工程大学|海军工程大学03,带电工科、交通航空、机械能源,带电+交通+机械组,中,相近混合,013903,电气类、交通运输类、核工程类
物理|提前本科批|海军工程大学|海军工程大学04,土建测绘、军警安全,土建测绘+军警混合组,中,跨界混合,013904,测绘类、军事类
物理|提前本科批|海军工程大学|海军工程大学05,带电工科、军警安全,带电+军警混合组,低,跨界混合,013905,电子信息类、军事类
物理|提前本科批|海军工程大学|海军工程大学06,带电工科,计算机组,低,同族,013906,计算机类
物理|提前本科批|海军工程大学|海军工程大学07,军警安全,兵器组,低,同族,013907,兵器类
物理|提前本科批|海军工程大学|海军工程大学08,军警安全,兵器组,低,同族,013908,兵器类
物理|提前本科批|海军大连舰艇学院|海军大连舰艇学院01,带电工科、土建测绘、交通航空、军警安全,大理工组（夹测绘）,高,大杂烩,014101,电子信息类、测绘类、交通运输类、兵器类、军事类
物理|提前本科批|海军大连舰艇学院|海军大连舰艇学院02,土建测绘,测绘组,中,同族,014102,测绘类
物理|提前本科批|海军潜艇学院|海军潜艇学院01,带电工科、军警安全,军警+带电混合组,低,跨界混合,014201,电子信息类、兵器类、军事类
物理|提前本科批|海军潜艇学院|海军潜艇学院02,交通航空,海洋工程组,低,同族,014202,海洋工程类
物理|提前本科批|海军潜艇学院|海军潜艇学院03,军警安全,军事组,低,同族,014203,军事类
物理|提前本科批|海军潜艇学院|海军潜艇学院04,军警安全,军事组,低,同族,014204,军事类
物理|提前本科批|海军航空大学|海军航空大学01,交通航空、军警安全,交通+军警组,低,相近混合,014301,航空航天类、军事类
物理|提前本科批|海军航空大学|海军航空大学02,军警安全,军事组,低,同族,014302,军事类
物理|提前本科批|空军工程大学|空军工程大学01,军警安全,军事组,低,同族,014401,军事类
物理|提前本科批|空军工程大学|空军工程大学02,军警安全,军事组,低,同族,014402,军事类
物理|提前本科批|空军工程大学|空军工程大学03,带电工科、交通航空、军警安全、经管商贸,大理工组,中,大杂烩,014403,电气类、电子信息类、自动化类、航空航天类、兵器类、军事类、管理科学与工程类
物理|提前本科批|空军工程大学|空军工程大学04,带电工科、土建测绘、军警安全、经管商贸,大理工组（夹测绘）,高,大杂烩,014404,电子信息类、测绘类、军事类、管理科学与工程类
物理|提前本科批|空军预警学院|空军预警学院01,军警安全,军事组,低,同族,014501,军事类
物理|提前本科批|空军预警学院|空军预警学院02,军警安全,军警组,低,同族,014502,兵器类、军事类
物理|提前本科批|军事航天部队航天工程大学|军事航天部队航天工程大学01,带电工科、交通航空、军警安全,带电+交通+军警组,中,跨界混合,014601,电子信息类、航空航天类、军事类
物理|提前本科批|军事航天部队航天工程大学|军事航天部队航天工程大学02,带电工科、交通航空、军警安全,带电+交通+军警组,中,跨界混合,014602,电子信息类、航空航天类、军事类
物理|提前本科批|网络空间部队信息工程大学|网络空间部队信息工程大学01,经管商贸,管工组,低,同族,015101,管理科学与工程类
物理|提前本科批|网络空间部队信息工程大学|网络空间部队信息工程大学02,理学基础、带电工科、军警安全,带电+理学+军警组,中,跨界混合,015102,数学类、物理学类、电子信息类、计算机类、兵器类、军事类
物理|提前本科批|网络空间部队信息工程大学|网络空间部队信息工程大学03,土建测绘、军警安全,土建测绘+军警混合组,中,跨界混合,015103,测绘类、军事类
物理|提前本科批|网络空间部队信息工程大学|网络空间部队信息工程大学04,带电工科、军警安全,带电+军警混合组,低,跨界混合,015104,电子信息类、计算机类、兵器类
物理|提前本科批|火箭军工程大学|火箭军工程大学01,军警安全,军事组,低,同族,015201,军事类
物理|提前本科批|火箭军工程大学|火箭军工程大学02,军警安全,军事组,低,同族,015202,军事类
物理|提前本科批|火箭军工程大学|火箭军工程大学03,机械能源、带电工科、军警安全,带电+机械+军警组,中,跨界混合,015203,机械类、电气类、电子信息类、自动化类、兵器类、核工程类
物理|提前本科批|火箭军工程大学|火箭军工程大学04,带电工科,电子信息组,低,同族,015204,电子信息类
物理|提前本科批|武警工程大学|武警工程大学01,文法教育、军警安全,文法+军警组,低,相近混合,015401,法学类、军事类
物理|提前本科批|武警工程大学|武警工程大学02,文法教育,法学组,低,同族,015402,法学类
物理|提前本科批|武警工程大学|武警工程大学03,理学基础、机械能源、带电工科、军警安全、经管商贸,大理工组,中,大杂烩,015403,统计学类、机械类、电子信息类、计算机类、兵器类、军事类、管理科学与工程类
物理|提前本科批|武警工程大学|武警工程大学04,带电工科,计算机电子组,低,同族,015404,电子信息类、计算机类
物理|提前本科批|武警工程大学|武警工程大学05,带电工科,计算机组,低,同族,015405,计算机类
物理|提前本科批|武警工程大学|武警工程大学06,带电工科,电子信息组,低,同族,015406,电子信息类
历史|提前本科批|武警警官学院|武警警官学院01,文法教育,民族学组,低,同族,017001,民族学类
物理|提前本科批|武警警官学院|武警警官学院02,文法教育、军警安全、经管商贸,经管+文法+军警组,中,跨界混合,017002,法学类、军事类、管理科学与工程类
物理|提前本科批|武警警官学院|武警警官学院03,军警安全,军事组,低,同族,017003,军事类
物理|提前本科批|武警警官学院|武警警官学院04,军警安全,军事组,低,同族,017004,军事类
历史|提前本科批|中国人民公安大学|中国人民公安大学01,军警安全,公安学组,低,同族,020101,公安学类
历史|提前本科批|中国人民公安大学|中国人民公安大学02,军警安全,公安学组,低,同族,020102,公安学类
历史|提前本科批|中国人民公安大学|中国人民公安大学03,军警安全,公安学组,低,同族,020103,公安学类
历史|本科批|中国人民公安大学|中国人民公安大学04,文法教育,法学组,低,同族,020104,法学类
物理|提前本科批|中国人民公安大学|中国人民公安大学05,军警安全,公安技术组,低,同族,020105,公安技术类
物理|提前本科批|中国人民公安大学|中国人民公安大学06,军警安全,公安技术组,低,同族,020106,公安技术类
物理|提前本科批|中国人民公安大学|中国人民公安大学07,军警安全,公安技术组,低,同族,020107,公安技术类
