key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
物理|提前本科批|南京工业大学|南京工业大学03,经管商贸,管工组,低,同族,111003,管理科学与工程类
物理|提前本科批|南京工业大学|南京工业大学04,带电工科、土建测绘、机械能源、化材药、地矿安全、生环食品、交通航空,大理工组（夹测绘/化工制药/安全工程/化学等）,高,大杂烩,111004,电气类、自动化类、计算机类、电子信息类、测绘类、能源动力类、化工与制药类、安全科学与工程类、化学类、生物工程类、材料类、药学类、交通运输类、机械类
物理|本科批|南京工业大学|南京工业大学05,经管商贸、文法教育、机械能源、土建测绘,工管/文混合组（夹建筑）,高,大杂烩,111005,工商管理类、法学类、金融学类、管理科学与工程类、工业工程类、建筑类
物理|本科批|南京工业大学|南京工业大学06,化材药、带电工科、生环食品,化材药组（夹生物工程）,中,跨界混合,111006,化工与制药类、电子信息类、自动化类、材料类、化学类、生物工程类
物理|本科批|南京工业大学|南京工业大学07,带电工科、机械能源、土建测绘,带电工科组（夹测绘）,高,冷热混放,111007,电气类、自动化类、仪器类、测绘类
物理|本科批|南京工业大学|南京工业大学08,带电工科、理学基础、土建测绘,带电工科组（夹测绘）,高,冷热混放,111008,计算机类、电子信息类、数学类、测绘类
物理|本科批|南京工业大学|南京工业大学09,机械能源、化材药、地矿安全、土建测绘,大理工组（夹材料/安全工程/土木）,高,大杂烩,111009,能源动力类、材料类、安全科学与工程类、机械类、土木类
物理|本科批|南京工业大学|南京工业大学10,化材药、带电工科、理学基础,带电工科组（夹材料）,中,跨界混合,111010,材料类、电子信息类、物理学类
物理|本科批|南京工业大学|南京工业大学11,化材药、生环食品、地矿安全、军警安全,大理工组（含环境/安全工程）,高,大杂烩,111011,化工与制药类、化学类、环境科学与工程类、安全科学与工程类、公安技术类
物理|本科批|南京工业大学|南京工业大学12,化材药、生环食品、地矿安全,化材药组（含生物工程/食品工程/安全工程）,中,跨界混合,111012,化学类、生物工程类、化工与制药类、药学类、食品科学与工程类、安全科学与工程类
物理|本科批|南京工业大学|南京工业大学13,土建测绘、机械能源、交通航空、理学基础,大理工组（夹土木）,高,大杂烩,111013,土木类、机械类、交通运输类、力学类
物理|本科批|南京工业大学|南京工业大学14,带电工科,电气组,低,同族,111014,电气类
物理|本科批|南京工业大学|南京工业大学15,带电工科、化材药,化材药+带电混合组,低,跨界混合,111015,自动化类、化工与制药类、材料类
物理|本科批|南京工业大学|南京工业大学16,带电工科、机械能源、化材药,带电工科组（夹化工制药）,中,跨界混合,111016,电子信息类、机械类、化工与制药类
历史|提前本科批|南京邮电大学|南京邮电大学01,文法教育、经管商贸,文法教育组（含工商管理）,低,相近混合,111101,新闻传播学类、工商管理类、社会学类、外国语言文学类
历史|本科批|南京邮电大学|南京邮电大学02,经管商贸、文法教育,经管+文法组,中,相近混合,111102,物流管理与工程类、公共管理类、工商管理类、社会学类、新闻传播学类、外国语言文学类
物理|提前本科批|南京邮电大学|南京邮电大学03,经管商贸、文法教育,经管+文法组,低,相近混合,111103,经济学类、金融学类、教育学类
物理|提前本科批|南京邮电大学|南京邮电大学04,机械能源、化材药、理学基础、带电工科、交通航空,大理工组（夹材料/化学）,中,大杂烩,111104,仪器类、材料类、化学类、地理科学类、物理学类、统计学类、自动化类、交通运输类、计算机类
物理|本科批|南京邮电大学|南京邮电大学05,经管商贸,经管商贸组,低,同族,111105,物流管理与工程类、管理科学与工程类
物理|本科批|南京邮电大学|南京邮电大学06,带电工科,电子信息组,低,同族,111106,电子信息类
物理|本科批|南京邮电大学|南京邮电大学07,带电工科、试验班、理学基础,带电+理学组,低,相近混合,111107,电子信息类、交叉学科类、物理学类
物理|本科批|南京邮电大学|南京邮电大学08,带电工科、理学基础,带电+理学组,低,相近混合,111108,计算机类、数学类
物理|本科批|南京邮电大学|南京邮电大学09,带电工科、机械能源,带电+机械组,低,相近混合,111109,电子信息类、自动化类、电气类、仪器类
物理|本科批|南京邮电大学|南京邮电大学10,带电工科、医药护理,带电+医药混合组,低,跨界混合,111110,计算机类、生物医学工程类
历史|本科批|南京医科大学|南京医科大学01,经管商贸,公管组,低,同族,111201,公共管理类
历史|本科批|南京医科大学|南京医科大学02,文法教育,外语组,低,同族,111202,外国语言文学类
物理|提前本科批|南京医科大学|南京医科大学03,医药护理,临床口腔组,低,同族,111203,临床医学类、口腔医学类
物理|提前本科批|南京医科大学|南京医科大学04,医药护理,临床口腔组,低,同族,111204,临床医学类、口腔医学类
物理|本科批|南京医科大学|南京医科大学05,经管商贸,公管组,低,同族,111205,公共管理类
物理|本科批|南京医科大学|南京医科大学06,文法教育,外语组,低,同族,111206,外国语言文学类
物理|本科批|南京医科大学|南京医科大学07,医药护理、理学基础,医药+理学混合组,低,跨界混合,111207,医学技术类、统计学类
物理|本科批|南京医科大学|南京医科大学08,化材药,药学组,低,同族,111208,药学类
物理|本科批|南京医科大学|南京医科大学09,医药护理,护理组,中,同族,111209,护理学类
物理|本科批|南京医科大学|南京医科大学10,医药护理,生医工程组,低,同族,111210,生物医学工程类
物理|本科批|南京医科大学|南京医科大学11,试验班、医药护理、生环食品,医药护理组（含生物科学）,低,相近混合,111211,交叉学科类、生物医学工程类、生物科学类
物理|本科批|南京医科大学|南京医科大学12,医药护理,医学技术组,低,同族,111212,医学技术类
物理|本科批|南京医科大学|南京医科大学13,医药护理,公卫组,低,同族,111213,公共卫生与预防医学类
物理|本科批|南京医科大学|南京医科大学14,医药护理,医药护理组,低,同族,111214,基础医学类、法医学类
物理|本科批|南京医科大学|南京医科大学15,化材药,药学组,低,同族,111215,药学类
物理|本科批|南京医科大学|南京医科大学16,医药护理,临床组,低,同族,111216,临床医学类
物理|本科批|南京医科大学|南京医科大学17,医药护理,医药护理组,低,同族,111217,公共卫生与预防医学类、基础医学类
物理|本科批|南京医科大学|南京医科大学18,医药护理,临床口腔组,低,同族,111218,临床医学类、口腔医学类
物理|本科批|南京医科大学|南京医科大学19,医药护理,临床组,低,同族,111219,临床医学类
物理|本科批|南京医科大学|南京医科大学20,医药护理,口腔组,低,同族,111220,口腔医学类
历史|提前本科批|南京中医药大学|南京中医药大学01,医药护理,中医组,低,同族,111301,中医学类
历史|本科批|南京中医药大学|南京中医药大学02,医药护理,中医组,低,同族,111302,中医学类
历史|本科批|南京中医药大学|南京中医药大学03,经管商贸、文法教育,经管+文法组,低,相近混合,111303,公共管理类、心理学类
历史|本科批|南京中医药大学|南京中医药大学04,经管商贸,公管组,低,同族,111304,公共管理类
物理|提前本科批|南京中医药大学|南京中医药大学05,医药护理,中医组,低,同族,111305,中医学类
物理|提前本科批|南京中医药大学|南京中医药大学06,化材药、医药护理,医药+化材药组,低,相近混合,111306,中药学类、医学技术类
物理|提前本科批|南京中医药大学|南京中医药大学07,医药护理,护理组,中,同族,111307,护理学类
物理|提前本科批|南京中医药大学|南京中医药大学08,医药护理,中医组,低,同族,111308,中医学类
物理|本科批|南京中医药大学|南京中医药大学09,医药护理,中医组,低,同族,111309,中医学类
物理|本科批|南京中医药大学|南京中医药大学10,医药护理,中医组,低,同族,111310,中医学类
物理|本科批|南京中医药大学|南京中医药大学11,医药护理,中医组,低,同族,111311,中医学类
物理|本科批|南京中医药大学|南京中医药大学12,经管商贸、文法教育,经管+文法组,低,相近混合,111312,管理科学与工程类、公共管理类、心理学类
物理|本科批|南京中医药大学|南京中医药大学13,经管商贸,公管组,低,同族,111313,公共管理类
物理|本科批|南京中医药大学|南京中医药大学14,医药护理,中西医组,低,同族,111314,中西医结合类
物理|本科批|南京中医药大学|南京中医药大学15,化材药,中药学组,低,同族,111315,中药学类
物理|本科批|南京中医药大学|南京中医药大学16,医药护理,医药护理组,低,同族,111316,中西医结合类、临床医学类
物理|本科批|南京中医药大学|南京中医药大学17,化材药、医药护理、带电工科,带电工科组（夹医学技术/护理）,高,冷热混放,111317,中药学类、药学类、医学技术类、护理学类、计算机类、电子信息类
物理|本科批|南京中医药大学|南京中医药大学18,化材药、生环食品,生环+化材药组,低,相近混合,111318,药学类、生物工程类、食品科学与工程类
物理|本科批|南京中医药大学|南京中医药大学19,化材药、带电工科,带电+化材药混合组,低,跨界混合,111319,药学类、电子信息类
物理|本科批|南京中医药大学|南京中医药大学20,生环食品、医药护理,医药护理组（含生物工程）,低,相近混合,111320,生物工程类、医学技术类
历史|本科批|南京工程学院|南京工程学院01,经管商贸、文法教育、艺术传媒,经管+文法+艺术组,中,跨界混合,111401,工商管理类、物流管理与工程类、外国语言文学类、艺术学理论类
物理|本科批|南京工程学院|南京工程学院02,经管商贸、文法教育,经管+文法组,低,相近混合,111402,工商管理类、经济学类、物流管理与工程类、管理科学与工程类、外国语言文学类
物理|本科批|南京工程学院|南京工程学院03,带电工科、机械能源、理学基础,带电+机械+理学组,中,相近混合,111403,电气类、能源动力类、计算机类、电子信息类、物理学类
物理|本科批|南京工程学院|南京工程学院04,机械能源、土建测绘、交通航空、生环食品、化材药,大理工组（夹土木/建筑/环境/化工制药）,高,大杂烩,111404,能源动力类、核工程类、土木类、建筑类、交通运输类、环境科学与工程类、化工与制药类
物理|本科批|南京工程学院|南京工程学院05,机械能源、化材药、带电工科、土建测绘、理学基础,大理工组（夹材料/土木）,高,大杂烩,111405,机械类、材料类、自动化类、电子信息类、仪器类、土木类、数学类
物理|本科批|南京工程学院|南京工程学院06,带电工科,电气组,低,同族,111406,电气类
物理|本科批|南京工程学院|南京工程学院07,带电工科、土建测绘、生环食品,带电工科组（夹土木/环境）,高,冷热混放,111407,计算机类、土木类、环境科学与工程类
历史|本科批|南京林业大学|南京林业大学01,文法教育、土建测绘,文法教育组（夹建筑）,高,冷热混放,111501,中国语言文学类、新闻传播学类、建筑类、外国语言文学类、法学类
历史|本科批|南京林业大学|南京林业大学02,文法教育、土建测绘,文法教育组（夹建筑）,高,冷热混放,111502,中国语言文学类、新闻传播学类、建筑类、外国语言文学类、法学类
物理|提前本科批|南京林业大学|南京林业大学03,农林动物、机械能源、化材药、土建测绘,大理工组（夹林业工程/材料/土木）,高,大杂烩,111503,林业工程类、机械类、材料类、土木类
物理|本科批|南京林业大学|南京林业大学04,经管商贸、土建测绘,经管商贸组（夹建筑）,高,冷热混放,111504,管理科学与工程类、工商管理类、金融学类、农业经济管理类、经济学类、建筑类
物理|本科批|南京林业大学|南京林业大学05,经管商贸、土建测绘,经管商贸组（夹建筑）,高,冷热混放,111505,管理科学与工程类、工商管理类、金融学类、农业经济管理类、经济学类、建筑类
物理|本科批|南京林业大学|南京林业大学06,农林动物、生环食品,农林动物组（含生物科学）,低,相近混合,111506,林学类、林业工程类、生物科学类
物理|本科批|南京林业大学|南京林业大学07,带电工科,带电工科组,低,同族,111507,计算机类、电气类、电子信息类
物理|本科批|南京林业大学|南京林业大学08,机械能源、带电工科、试验班,带电+机械组,低,相近混合,111508,机械类、自动化类、交叉学科类
物理|本科批|南京林业大学|南京林业大学09,农林动物、生环食品,农林动物组（含生物科学）,低,相近混合,111509,林学类、植物生产类、自然保护与环境生态类、生物科学类
物理|本科批|南京林业大学|南京林业大学10,农林动物、生环食品,生环食品组（含植物生产/自然保护）,中,相近混合,111510,植物生产类、环境科学与工程类、生物科学类、自然保护与环境生态类
物理|本科批|南京林业大学|南京林业大学11,生环食品、化材药,化材药组（含生物工程/食品工程）,低,相近混合,111511,生物工程类、化工与制药类、化学类、食品科学与工程类
物理|本科批|南京林业大学|南京林业大学12,理学基础、化材药、农林动物、机械能源,大理工组（夹材料/林业工程）,中,大杂烩,111512,地理科学类、材料类、林业工程类、机械类
物理|本科批|南京林业大学|南京林业大学13,机械能源、土建测绘、交通航空,土建测绘+机械+交通组,中,相近混合,111513,能源动力类、土木类、测绘类、交通运输类
物理|本科批|南京林业大学|南京林业大学14,带电工科,带电工科组,低,同族,111514,计算机类、电气类、电子信息类
物理|本科批|南京林业大学|南京林业大学15,机械能源、带电工科、理学基础,带电+机械+理学组,中,相近混合,111515,机械类、自动化类、数学类
物理|本科批|南京林业大学|南京林业大学16,生环食品、化材药、农林动物,生环食品组（含化工制药/林业工程）,中,跨界混合,111516,生物工程类、化工与制药类、林业工程类、轻工类、食品科学与工程类
物理|本科批|南京林业大学|南京林业大学17,机械能源、化材药、交通航空,机械能源组（含材料）,中,跨界混合,111517,能源动力类、材料类、机械类、交通运输类
物理|本科批|南京林业大学|南京林业大学18,农林动物,农林动物组,低,同族,111518,林学类、林业工程类
历史|本科批|南京财经大学|南京财经大学01,经管商贸,财政组,低,同族,111601,财政学类
历史|本科批|南京财经大学|南京财经大学02,经管商贸,经济组,低,同族,111602,经济学类
历史|本科批|南京财经大学|南京财经大学03,经管商贸,工商管理组,低,同族,111603,工商管理类
历史|本科批|南京财经大学|南京财经大学04,经管商贸,经管商贸组,中,同族,111604,经济学类、财政学类、金融学类、经济与贸易类、工商管理类、公共管理类
历史|本科批|南京财经大学|南京财经大学05,文法教育,文法教育组,低,同族,111605,法学类、社会学类、外国语言文学类、中国语言文学类、新闻传播学类
历史|本科批|南京财经大学|南京财经大学06,经管商贸,经管商贸组,低,同族,111606,工商管理类、物流管理与工程类
历史|本科批|南京财经大学|南京财经大学07,经管商贸,工商管理组,低,同族,111607,工商管理类
物理|本科批|南京财经大学|南京财经大学08,经管商贸,经管商贸组,低,同族,111608,财政学类、工商管理类
物理|本科批|南京财经大学|南京财经大学09,经管商贸,经济组,低,同族,111609,经济学类
物理|本科批|南京财经大学|南京财经大学10,经管商贸,工商管理组,低,同族,111610,工商管理类
物理|本科批|南京财经大学|南京财经大学11,经管商贸、机械能源,工管/文混合组（含电商/工商管理/旅游管理）,高,大杂烩,111611,经济学类、财政学类、金融学类、经济与贸易类、电子商务类、工商管理类、旅游管理类、管理科学与工程类、工业工程类
物理|本科批|南京财经大学|南京财经大学12,文法教育,文法教育组,低,同族,111612,法学类、中国语言文学类、外国语言文学类、新闻传播学类
物理|本科批|南京财经大学|南京财经大学13,经管商贸,经管商贸组,低,同族,111613,经济学类、金融学类、管理科学与工程类
物理|本科批|南京财经大学|南京财经大学14,经管商贸,经管商贸组,低,同族,111614,工商管理类、物流管理与工程类、经济学类
物理|本科批|南京财经大学|南京财经大学15,经管商贸,工商管理组,低,同族,111615,工商管理类
物理|本科批|南京财经大学|南京财经大学16,带电工科,计算机组,低,同族,111616,计算机类
物理|本科批|南京财经大学|南京财经大学17,带电工科、理学基础,带电+理学组,低,相近混合,111617,计算机类、电子信息类、数学类
物理|本科批|南京财经大学|南京财经大学18,生环食品,食品工程组,低,同族,111618,食品科学与工程类
历史|本科批|南京体育学院|南京体育学院01,文法教育,新闻传播组,低,同族,111701,新闻传播学类
历史|本科批|南京体育学院|南京体育学院02,经管商贸,工商管理组,低,同族,111702,工商管理类
历史|本科批|南京体育学院|南京体育学院03,经管商贸,工商管理组,低,同族,111703,工商管理类
物理|本科批|南京体育学院|南京体育学院04,经管商贸,工商管理组,低,同族,111704,工商管理类
物理|本科批|南京体育学院|南京体育学院05,经管商贸,工商管理组,低,同族,111705,工商管理类
物理|本科批|南京体育学院|南京体育学院06,医药护理,医学技术组,低,同族,111706,医学技术类
物理|本科批|南京体育学院|南京体育学院07,文法教育,体育组,低,同族,111707,体育学类
历史|本科批|南京艺术学院|南京艺术学院01,艺术传媒、经管商贸,艺术传媒组（含工商管理）,低,跨界混合,111801,美术学类、设计学类、戏剧与影视学类、艺术学理论类、工商管理类
物理|本科批|南京艺术学院|南京艺术学院02,艺术传媒、经管商贸,艺术传媒组（含工商管理）,低,跨界混合,111802,戏剧与影视学类、美术学类、工商管理类
物理|本科批|南京艺术学院|南京艺术学院03,机械能源,机械组,低,同族,111803,机械类
历史|本科批|南京审计大学|南京审计大学01,经管商贸,工商管理组,低,同族,111901,工商管理类
历史|本科批|南京审计大学|南京审计大学02,经管商贸,工商管理组,低,同族,111902,工商管理类
历史|本科批|南京审计大学|南京审计大学03,经管商贸,工商管理组,低,同族,111903,工商管理类
历史|本科批|南京审计大学|南京审计大学04,经管商贸、文法教育,文商组,中,大杂烩,111904,工商管理类、金融学类、财政学类、法学类、电子商务类、中国语言文学类、外国语言文学类、经济与贸易类、公共管理类
历史|本科批|南京审计大学|南京审计大学05,经管商贸,工商管理组,低,同族,111905,工商管理类
历史|本科批|南京审计大学|南京审计大学06,经管商贸,工商管理组,低,同族,111906,工商管理类
历史|本科批|南京审计大学|南京审计大学07,经管商贸,经济组,低,同族,111907,经济学类
历史|本科批|南京审计大学|南京审计大学08,经管商贸,金融组,低,同族,111908,金融学类
物理|本科批|南京审计大学|南京审计大学09,经管商贸,工商管理组,低,同族,111909,工商管理类
物理|本科批|南京审计大学|南京审计大学10,经管商贸,工商管理组,低,同族,111910,工商管理类
物理|本科批|南京审计大学|南京审计大学11,经管商贸,工商管理组,低,同族,111911,工商管理类
物理|本科批|南京审计大学|南京审计大学12,经管商贸、文法教育,文商组,中,大杂烩,111912,工商管理类、经济学类、金融学类、法学类、财政学类、管理科学与工程类、公共管理类、物流管理与工程类、电子商务类、经济与贸易类
物理|本科批|南京审计大学|南京审计大学13,经管商贸,工商管理组,低,同族,111913,工商管理类
物理|本科批|南京审计大学|南京审计大学14,经管商贸,经管商贸组,低,同族,111914,工商管理类、金融学类、管理科学与工程类
物理|本科批|南京审计大学|南京审计大学15,经管商贸,经济组,低,同族,111915,经济学类
物理|本科批|南京审计大学|南京审计大学16,经管商贸,经济组,低,同族,111916,经济学类
物理|本科批|南京审计大学|南京审计大学17,经管商贸,金融组,低,同族,111917,金融学类
物理|本科批|南京审计大学|南京审计大学18,经管商贸、理学基础、带电工科,带电+经管+理学组,中,跨界混合,111918,管理科学与工程类、统计学类、计算机类、电子信息类、数学类
历史|本科批|南京晓庄学院|南京晓庄学院01,文法教育,文法教育组,低,同族,112001,教育学类、心理学类、中国语言文学类、外国语言文学类、历史学类
历史|本科批|南京晓庄学院|南京晓庄学院02,文法教育、经管商贸,经管+文法组,中,相近混合,112002,中国语言文学类、外国语言文学类、新闻传播学类、金融学类、经济与贸易类、工商管理类、物流管理与工程类
历史|本科批|南京晓庄学院|南京晓庄学院03,文法教育、经管商贸,文法教育组（含旅游管理）,中,相近混合,112003,历史学类、社会学类、旅游管理类、教育学类
历史|本科批|南京晓庄学院|南京晓庄学院04,艺术传媒,戏剧影视组,低,同族,112004,戏剧与影视学类
历史|本科批|南京晓庄学院|南京晓庄学院05,文法教育,马理论组,低,同族,112005,马克思主义理论类
历史|本科批|南京晓庄学院|南京晓庄学院06,理学基础,地理科学组,低,同族,112006,地理科学类
物理|本科批|南京晓庄学院|南京晓庄学院07,文法教育,文法教育组,低,同族,112007,教育学类、心理学类、中国语言文学类、外国语言文学类、历史学类
物理|本科批|南京晓庄学院|南京晓庄学院08,文法教育、经管商贸,文商组,中,大杂烩,112008,中国语言文学类、外国语言文学类、新闻传播学类、金融学类、经济与贸易类、经济学类、工商管理类、物流管理与工程类
物理|本科批|南京晓庄学院|南京晓庄学院09,文法教育、经管商贸,文法教育组（含旅游管理）,中,相近混合,112009,历史学类、社会学类、旅游管理类、教育学类
物理|本科批|南京晓庄学院|南京晓庄学院10,艺术传媒,戏剧影视组,低,同族,112010,戏剧与影视学类
物理|本科批|南京晓庄学院|南京晓庄学院11,理学基础、化材药、生环食品,理学基础组（含化学/生物科学）,中,相近混合,112011,数学类、物理学类、化学类、生物科学类
物理|本科批|南京晓庄学院|南京晓庄学院12,带电工科,带电工科组,低,同族,112012,计算机类、电子信息类、自动化类
物理|本科批|南京晓庄学院|南京晓庄学院13,化材药、生环食品,生环食品组（含化学/材料）,中,相近混合,112013,化学类、食品科学与工程类、生物科学类、材料类、环境科学与工程类
物理|本科批|南京晓庄学院|南京晓庄学院14,文法教育,马理论组,低,同族,112014,马克思主义理论类
物理|本科批|南京晓庄学院|南京晓庄学院15,理学基础,地理科学组,低,同族,112015,地理科学类
历史|提前本科批|江苏警官学院|江苏警官学院01,军警安全,公安学组,低,同族,112201,公安学类
历史|提前本科批|江苏警官学院|江苏警官学院02,军警安全,公安学组,低,同族,112202,公安学类
历史|本科批|江苏警官学院|江苏警官学院03,文法教育,法学组,低,同族,112203,法学类
物理|提前本科批|江苏警官学院|江苏警官学院04,军警安全,公安技术组,低,同族,112204,公安技术类
物理|提前本科批|江苏警官学院|江苏警官学院05,军警安全,公安技术组,低,同族,112205,公安技术类
物理|提前本科批|江苏警官学院|江苏警官学院06,军警安全,公安学组,低,同族,112206,公安学类
物理|提前本科批|江苏警官学院|江苏警官学院07,军警安全,公安学组,低,同族,112207,公安学类
物理|本科批|江苏警官学院|江苏警官学院08,文法教育,法学组,低,同族,112208,法学类
历史|本科批|金陵科技学院|金陵科技学院01,经管商贸、文法教育,经管+文法组,低,相近混合,112801,工商管理类、金融学类、物流管理与工程类、经济与贸易类、外国语言文学类
历史|本科批|金陵科技学院|金陵科技学院02,文法教育、经管商贸,经管+文法组,中,相近混合,112802,新闻传播学类、公共管理类、中国语言文学类、旅游管理类
历史|本科批|金陵科技学院|金陵科技学院03,经管商贸,工商管理组,低,同族,112803,工商管理类
物理|本科批|金陵科技学院|金陵科技学院04,经管商贸、文法教育、土建测绘,工管/文混合组（夹建筑）,高,大杂烩,112804,工商管理类、金融学类、物流管理与工程类、经济与贸易类、电子商务类、新闻传播学类、中国语言文学类、外国语言文学类、建筑类、管理科学与工程类
物理|本科批|金陵科技学院|金陵科技学院05,经管商贸,工商管理组,低,同族,112805,工商管理类
物理|本科批|金陵科技学院|金陵科技学院06,带电工科、机械能源、理学基础、生环食品,大理工组（夹食品工程）,中,大杂烩,112806,计算机类、电子信息类、自动化类、机械类、电气类、数学类、食品科学与工程类
物理|本科批|金陵科技学院|金陵科技学院07,化材药、医药护理、交通航空、土建测绘,大理工组（含材料/土木）,高,大杂烩,112807,材料类、医学技术类、交通运输类、土木类
物理|本科批|金陵科技学院|金陵科技学院08,农林动物,农林动物组,低,同族,112808,动物医学类、动物生产类、植物生产类
物理|本科批|金陵科技学院|金陵科技学院09,带电工科,计算机电子组,低,同族,112809,计算机类、电子信息类
物理|本科批|金陵科技学院|金陵科技学院10,带电工科、机械能源,带电+机械组,低,相近混合,112810,自动化类、机械类、电气类
物理|本科批|金陵科技学院|金陵科技学院11,农林动物,林学组,低,同族,112811,林学类
历史|本科批|江苏第二师范学院|江苏第二师范学院01,文法教育,文法教育组,低,同族,113101,中国语言文学类、历史学类、教育学类、外国语言文学类
历史|本科批|江苏第二师范学院|江苏第二师范学院02,文法教育,文法教育组,低,同族,113102,中国语言文学类、心理学类、外国语言文学类
历史|本科批|江苏第二师范学院|江苏第二师范学院03,经管商贸,经管商贸组,低,同族,113103,工商管理类、经济与贸易类、金融学类
历史|本科批|江苏第二师范学院|江苏第二师范学院04,经管商贸,工商管理组,低,同族,113104,工商管理类
历史|本科批|江苏第二师范学院|江苏第二师范学院05,文法教育,外语组,低,同族,113105,外国语言文学类
历史|本科批|江苏第二师范学院|江苏第二师范学院06,文法教育,马理论组,低,同族,113106,马克思主义理论类
历史|本科批|江苏第二师范学院|江苏第二师范学院07,理学基础,地理科学组,低,同族,113107,地理科学类
物理|本科批|江苏第二师范学院|江苏第二师范学院08,理学基础、生环食品、化材药,理学基础组（含生物科学/化学）,中,相近混合,113108,数学类、生物科学类、化学类、物理学类
物理|本科批|江苏第二师范学院|江苏第二师范学院09,生环食品、化材药,生环食品组（含化学）,低,相近混合,113109,生物工程类、食品科学与工程类、化学类
物理|本科批|江苏第二师范学院|江苏第二师范学院10,带电工科,计算机组,低,同族,113110,计算机类
物理|本科批|江苏第二师范学院|江苏第二师范学院11,带电工科、理学基础,带电+理学组,低,相近混合,113111,电子信息类、物理学类
物理|本科批|江苏第二师范学院|江苏第二师范学院12,理学基础,数理基础组,低,同族,113112,数学类、统计学类
物理|本科批|江苏第二师范学院|江苏第二师范学院13,带电工科,电子信息组,低,同族,113113,电子信息类
物理|本科批|江苏第二师范学院|江苏第二师范学院14,带电工科,计算机组,低,同族,113114,计算机类
物理|本科批|江苏第二师范学院|江苏第二师范学院15,文法教育,文法教育组,低,同族,113115,教育学类、中国语言文学类、历史学类、外国语言文学类
物理|本科批|江苏第二师范学院|江苏第二师范学院16,文法教育,文法教育组,低,同族,113116,中国语言文学类、心理学类、外国语言文学类
物理|本科批|江苏第二师范学院|江苏第二师范学院17,经管商贸,经管商贸组,低,同族,113117,工商管理类、经济与贸易类、金融学类、经济学类
物理|本科批|江苏第二师范学院|江苏第二师范学院18,经管商贸,工商管理组,低,同族,113118,工商管理类
物理|本科批|江苏第二师范学院|江苏第二师范学院19,文法教育,马理论组,低,同族,113119,马克思主义理论类
物理|本科批|江苏第二师范学院|江苏第二师范学院20,理学基础,地理科学组,低,同族,113120,地理科学类
历史|本科批|南京特殊教育师范学院|南京特殊教育师范学院01,文法教育、经管商贸,文法教育组（夹公管/工商管理）,中,相近混合,113301,教育学类、中国语言文学类、心理学类、公共管理类、工商管理类、外国语言文学类、新闻传播学类
历史|本科批|南京特殊教育师范学院|南京特殊教育师范学院02,文法教育,教育组,低,同族,113302,教育学类
历史|本科批|南京特殊教育师范学院|南京特殊教育师范学院03,文法教育,教育组,低,同族,113303,教育学类
历史|本科批|南京特殊教育师范学院|南京特殊教育师范学院04,文法教育,马理论组,低,同族,113304,马克思主义理论类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院05,文法教育、经管商贸,文法教育组（含公管/工商管理）,中,相近混合,113305,教育学类、心理学类、公共管理类、工商管理类、外国语言文学类、新闻传播学类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院06,文法教育,教育组,低,同族,113306,教育学类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院07,文法教育,教育组,低,同族,113307,教育学类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院08,医药护理、带电工科、理学基础,带电工科组（夹医学技术）,中,跨界混合,113308,医学技术类、电子信息类、计算机类、数学类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院09,理学基础、带电工科、医药护理,带电工科组（夹医学技术）,中,跨界混合,113309,数学类、计算机类、医学技术类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院10,医药护理,医学技术组,低,同族,113310,医学技术类
物理|本科批|南京特殊教育师范学院|南京特殊教育师范学院11,文法教育,马理论组,低,同族,113311,马克思主义理论类
历史|本科批|南京工业职业技术大学|南京工业职业技术大学01,经管商贸,经管商贸组,中,同族,113601,财务会计类、旅游类、工商管理类、经济贸易类、物流类、电子商务类
历史|本科批|南京工业职业技术大学|南京工业职业技术大学02,经管商贸,财会组,低,同族,113602,财务会计类
物理|本科批|南京工业职业技术大学|南京工业职业技术大学03,带电工科、机械能源,带电+机械组,低,相近混合,113603,自动化类、机械设计制造类、计算机类
物理|本科批|南京工业职业技术大学|南京工业职业技术大学04,机械能源、化材药、带电工科、交通航空、土建测绘、经管商贸,大理工组（夹建工管理/物流）,高,大杂烩,113604,机电设备类、机械设计制造类、药品与医疗器械类、新能源发电工程类、自动化类、电力技术类、通信类、电子信息类、集成电路类、航空装备类、航空运输类、道路运输类、城市轨道交通类、汽车制造类、计算机类、建设工程管理类、物流类
物理|本科批|南京工业职业技术大学|南京工业职业技术大学05,机械能源,机械制造组,低,同族,113605,机械设计制造类
物理|本科批|南京工业职业技术大学|南京工业职业技术大学06,带电工科、机械能源,带电+机械组,低,相近混合,113606,自动化类、汽车制造类
历史|本科批|江南大学|江南大学01,经管商贸,经管商贸组,低,同族,120101,金融学类、工商管理类
历史|本科批|江南大学|江南大学02,文法教育,中文组,低,同族,120102,中国语言文学类
历史|本科批|江南大学|江南大学03,文法教育,外语组,低,同族,120103,外国语言文学类
历史|本科批|江南大学|江南大学04,文法教育,法学组,低,同族,120104,法学类
历史|本科批|江南大学|江南大学05,文法教育,社会学组,低,同族,120105,社会学类
