sourceSheet,sourceRow,school,majorText,plan2026,college,partner
211,182,河北工业大学,生物医学工程,是,利物浦学院（天津）,英国利物浦大学 26新增
211,183,河北工业大学,机械设计制造及其自动化,是,利物浦学院（天津）,英国利物浦大学 26新增
211,184,河北工业大学,机器人工程,是,利物浦学院（天津）,英国利物浦大学 26新增
211,185,河北工业大学,工业工程,是,卡普顿学院（廊坊）,加拿大卡普顿大学 26新增
211,186,河北工业大学,大数据管理与应用,是,卡普顿学院（廊坊）,加拿大卡普顿大学 26新增
211,187,河北工业大学,应用物理学,否,卡普顿学院（廊坊）,美国亚利桑那大学（25年取消）
211,188,河北工业大学,材料物理,否,卡普顿学院（廊坊）,美国亚利桑那大学（25年取消）
211,189,河北工业大学,机械设计制造及其自动化,否,卡普顿学院（廊坊）,美国亚利桑那大学（25年取消）
211,190,河北工业大学,环境工程,否,能源与环境工程学院,德国北豪森应用技术大学（25年取消）
211,193,大连海事大学,土木工程,否,大连海事大学休斯顿国际学院,美国休斯顿大学（取消）
211,199,福州大学,软件工程,是,福州大学梅努斯国际工程学院,爱尔兰国立梅努斯大学
211,201,福州大学,数字媒体技术,是,福州大学梅努斯国际工程学院,爱尔兰国立梅努斯大学
211,202,福州大学,数字媒体艺术,是,中俄艺术与科技国际学院,"俄罗斯国立工艺美术大学
26 新增"
211,203,福州大学,产品设计,是,中俄艺术与科技国际学院,"俄罗斯国立工艺美术大学
26 新增"
211,204,福州大学,环境设计,是,中俄艺术与科技国际学院,"俄罗斯国立工艺美术大学
26 新增"
211,208,西北大学,电子信息科学与技术,是,信息学院,英国埃塞克斯大学
211,210,西北大学,美术学,是,西北大学萨兰托文化遗产与艺术学院（简称安莱学院）,意大利萨兰托大学
211,213,东北林业大学,信息与计算科学,否,海南国际学院,英国伦敦大学伯克贝克学院 26新增
211,230,云南大学,化学工程与工艺,是,云南马来亚学院,马来西亚马来亚大学
211,231,云南大学,土木工程,否,建筑与规划学院,英国思克莱德大学（停招）
211,235,贵州大学,信息管理与信息系统,是,大数据与信息工程学院,美国北卡罗莱纳大学彭布罗克分校
211,236,贵州大学,旅游管理,是,旅游与文化产业学院,英国林肯大学
211,242,海南大学,软件工程（NIIT）,是,计算机科学与技术学院,印度国家信息技术学院
211,244,北京体育大学 海南,旅游管理,是,北京体育大学阿尔伯塔国际休闲体育与旅游学院,加拿大阿尔伯塔大学
211,245,北京体育大学 海南,休闲体育,是,北京体育大学阿尔伯塔国际休闲体育与旅游学院,加拿大阿尔伯塔大学
211,252,延边大学,经济学,是,经济管理学院,韩国崇实大学
211,253,延边大学,通信工程,是,工学院,韩国湖西大学
211,254,延边大学,食品科学与工程,是,农学院,韩国全北大学
211,261,东北农业大学,动物科学,是,麦考瑞联合学院,美国莫瑞州立大学
211,262,中国政法大学,219/218/187/151,是,海南陵水,海南国际学院
