院校,科类,批次,专业组,专业代码,专业名称,专业类,26计划,25分,25位次,风险类型
"中国科学技术大学","物理","本科批","中国科学技术大学02","11","生物科学类(生物科学、生物技术、临床医学(五年制))(教育部基础学科拔尖学生培养基地,中国科学院基础和前沿交叉学科人才培养工程实施基地。设贝时璋生命科技英才班、临床医学英才班)","生物科学类","1","","","刺客专业"
"中国科学技术大学","物理","本科批","中国科学技术大学02","15","行星科学(教育部基础学科拔尖学生培养基地)(提供""行星科学+人工智能""双学士学位培养模式)","地球物理学类","1","","","刺客专业"
"合肥工业大学","物理","本科批","合肥工业大学04","15","建筑学(建筑学+工商管理双学士学位)(以下专业在合肥校区学习)","建筑类","3","603","31363","刺客专业"
"合肥工业大学","物理","本科批","合肥工业大学06","18","交通运输(以下专业在合肥校区学习)","交通运输类","10","","","刺客专业"
"合肥工业大学","物理","本科批","合肥工业大学06","27","生物医学工程(报考该专业有色觉等要求,具体请查阅院校招生章程)(以下专业在合肥校区学习)","生物医学工程类","12","","","刺客专业"
"合肥工业大学","物理","本科批","合肥工业大学06","36","食品质量与安全(食品质量与安全+工商管理双学士学位)(报考该专业有色觉等要求,具体请查阅院校招生章程)(以下专业在合肥校区学习)","食品科学与工程类","8","","","刺客专业"
"安徽大学","历史","本科批","安徽大学01","02","历史学(龙河校区)(以下专业除注明外在金寨路校区学习)","历史学类","4","594","7024","刺客专业"
"安徽大学","历史","本科批","安徽大学01","05","人力资源管理(以下专业除注明外在金寨路校区学习)","工商管理类","3","592","7552","刺客专业"
"安徽大学","历史","本科批","安徽大学01","06","德语(以下专业除注明外在金寨路校区学习)","外国语言文学类","2","592","7552","刺客专业"
"安徽大学","历史","本科批","安徽大学01","07","法语(以下专业除注明外在金寨路校区学习)","外国语言文学类","2","592","7552","刺客专业"
"安徽大学","历史","本科批","安徽大学01","09","行政管理(以下专业除注明外在金寨路校区学习)","公共管理类","2","593","7288","刺客专业"
"安徽大学","物理","本科批","安徽大学02","15","英语(只招英语考生)(以下专业在金寨路校区学习)","外国语言文学类","2","602","32191","刺客专业"
"安徽大学","物理","本科批","安徽大学04","30","测绘工程(金寨路校区)(以下专业除注明外在龙河校区学习)","测绘类","2","614","22496","刺客专业"
"安徽医科大学","物理","本科批","安徽医科大学04","11","生物医药数据科学(以下专业除注明外在杏林路校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","1","","","刺客专业"
"安徽医科大学","物理","本科批","安徽医科大学04","12","生物技术(铜陵路校区)(以下专业除注明外在杏林路校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","561","77094","刺客专业"
"安徽医科大学","物理","本科批","安徽医科大学04","13","生物信息学(铜陵路校区)(以下专业除注明外在杏林路校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","生物科学类","1","560","78397","刺客专业"
"安徽医科大学","物理","本科批","安徽医科大学04","14","生物医学工程(铜陵路校区)(以下专业除注明外在杏林路校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","1","568","68339","刺客专业"
"安徽医科大学","物理","本科批","安徽医科大学04","15","化学生物学(铜陵路校区)(以下专业除注明外在杏林路校区学习,报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","化学类","1","576","58765","刺客专业"
"安徽建筑大学","历史","本科批","安徽建筑大学01","03","英语(只招英语考生)(紫云路校区)(以下专业除注明外在金寨路校区学习)","外国语言文学类","2","567","15976","刺客专业"
"安徽建筑大学","历史","本科批","安徽建筑大学01","05","人力资源管理(以下专业除注明外在金寨路校区学习)","工商管理类","2","558","19647","刺客专业"
"安徽建筑大学","历史","本科批","安徽建筑大学01","06","劳动与社会保障(以下专业除注明外在金寨路校区学习)","公共管理类","1","560","18814","刺客专业"
"安徽建筑大学","历史","本科批","安徽建筑大学01","07","土地资源管理(以下专业除注明外在金寨路校区学习)","公共管理类","2","558","19647","刺客专业"
"安徽建筑大学","历史","本科批","安徽建筑大学01","08","城市管理(以下专业除注明外在金寨路校区学习)","公共管理类","2","558","19647","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","09","建筑学(紫云路校区)(以下专业除注明外在金寨路校区学习)","建筑类","2","544","99723","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","10","城乡规划(紫云路校区)(以下专业除注明外在金寨路校区学习)","建筑类","2","549","92972","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","11","风景园林(紫云路校区)(以下专业除注明外在金寨路校区学习)","建筑类","2","543","101162","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","18","英语(只招英语考生)(紫云路校区)(以下专业除注明外在金寨路校区学习)","外国语言文学类","2","542","102527","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","20","人力资源管理(以下专业除注明外在金寨路校区学习)","工商管理类","1","545","98332","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","21","劳动与社会保障(以下专业除注明外在金寨路校区学习)","公共管理类","1","544","99723","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","22","土地资源管理(以下专业除注明外在金寨路校区学习)","公共管理类","1","542","102527","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学02","23","城市管理(以下专业除注明外在金寨路校区学习)","公共管理类","1","544","99723","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","29","遥感科学与技术(以下专业在紫云路校区学习)","测绘类","2","539","106681","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","30","地质工程(以下专业在紫云路校区学习)","地质类","2","542","102527","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","31","交通工程(以下专业在紫云路校区学习)","交通运输类","2","539","106681","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","43","应用化学(以下专业在紫云路校区学习)","化学类","2","536","110915","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","58","安全工程(以下专业在紫云路校区学习)","安全科学与工程类","2","543","101162","刺客专业"
"安徽建筑大学","物理","本科批","安徽建筑大学03","59","消防工程(以下专业在紫云路校区学习)","公安技术类","2","537","109485","刺客专业"
"安徽农业大学","历史","本科批","安徽农业大学01","03","英语","外国语言文学类","2","566","16347","刺客专业"
"安徽农业大学","历史","本科批","安徽农业大学01","04","乡村治理","农业经济管理类","2","","","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","06","生物育种科学","植物生产类","2","542","102527","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","08","智慧农业","植物生产类","4","546","96974","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","10","林学","林学类","2","544","99723","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","11","动物科学","动物生产类","4","546","96974","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","13","动物医学","动物医学类","2","562","75838","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","14","茶学","植物生产类","1","563","74583","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","15","食品科学与工程","食品科学与工程类","3","550","91584","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","16","食品营养与健康","食品科学与工程类","1","","","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","17","生物科学","生物科学类","2","541","103950","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","18","生物技术","生物科学类","2","542","102527","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","21","地理空间信息工程","测绘类","2","552","88856","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","22","生态学","生物科学类","3","540","105342","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","23","环境科学","环境科学与工程类","2","541","103950","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","25","农业资源与环境","自然保护与环境生态类","3","540","105342","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","27","纺织工程","纺织类","2","542","102527","刺客专业"
"安徽农业大学","物理","本科批","安徽农业大学02","28","服装设计与工程","纺织类","2","539","106681","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","07","历史学(师范)(以下专业除注明外在花津校区学习)","历史学类","2","577","12245","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","08","世界史(以下专业除注明外在花津校区学习)","历史学类","2","569","15247","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","12","俄语(以下专业除注明外在花津校区学习)","外国语言文学类","2","565","16742","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","13","法语(以下专业除注明外在花津校区学习)","外国语言文学类","2","567","15976","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","14","日语(以下专业除注明外在花津校区学习)","外国语言文学类","2","566","16347","刺客专业"
"安徽师范大学","历史","本科批","安徽师范大学02","15","葡萄牙语(以下专业除注明外在花津校区学习)","外国语言文学类","2","566","16347","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学04","23","人力资源管理(以下专业除注明外在赭山校区学习)","工商管理类","2","553","87529","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学04","27","土地资源管理(花津校区)(以下专业除注明外在赭山校区学习)","公共管理类","2","551","90194","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学05","38","生物科学(师范)(以下专业在花津校区学习)","生物科学类","2","558","81014","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学05","39","生物技术(以下专业在花津校区学习)","生物科学类","2","553","87529","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学05","40","食品科学与工程(以下专业在花津校区学习)","食品科学与工程类","2","555","84863","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学05","43","生态学(以下专业在花津校区学习)","生物科学类","4","555","84863","刺客专业"
"安徽师范大学","物理","本科批","安徽师范大学05","45","环境科学(以下专业在花津校区学习)","环境科学与工程类","4","555","84863","刺客专业"
"安徽财经大学","历史","本科批","安徽财经大学02","09","商务英语(只招英语考生)(以下专业在龙湖西校区学习)","外国语言文学类","6","567","15976","刺客专业"
"合肥大学","物理","本科批","合肥大学05","18","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)","食品科学与工程类","2","557","82293","刺客专业"
"蚌埠医科大学","物理","本科批","蚌埠医科大学01","01","生物科学(报考该专业组有色觉要求,具体请查阅院校招生章程)","生物科学类","5","552","88856","刺客专业"
"皖西学院","物理","本科批","皖西学院01","02","食品卫生与营养学","公共卫生与预防医学类","5","","","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","22","水文与水资源工程(以下专业除注明外在校本部学习)","水利类","3","548","94330","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","23","遥感科学与技术(以下专业除注明外在校本部学习)","测绘类","2","557","82293","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","24","地理空间信息工程(以下专业除注明外在校本部学习)","测绘类","2","","","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","27","地质工程(以下专业除注明外在校本部学习)","地质类","4","547","95643","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","28","采矿工程(以下专业除注明外在校本部学习)","矿业类","2","546","96974","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","29","矿物加工工程(以下专业除注明外在校本部学习)","矿业类","5","545","98332","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","30","交通工程(以下专业除注明外在校本部学习)","交通运输类","2","552","88856","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","33","安全工程(以下专业除注明外在校本部学习)","安全科学与工程类","2","570","65872","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","34","职业卫生工程(合肥校区)(以下专业除注明外在校本部学习)","安全科学与工程类","3","546","96974","刺客专业"
"安徽理工大学","物理","本科批","安徽理工大学04","35","消防工程(以下专业除注明外在校本部学习)","公安技术类","3","538","108074","刺客专业"
"宿州学院","物理","本科批","宿州学院03","05","测绘工程(以下专业在教育园区校区学习)","测绘类","4","506","153113","刺客专业"
"宿州学院","物理","本科批","宿州学院03","06","生物技术(以下专业在教育园区校区学习)","生物科学类","4","505","154520","刺客专业"
"宿州学院","物理","本科批","宿州学院03","07","食品科学与工程(以下专业在教育园区校区学习)","食品科学与工程类","4","505","154520","刺客专业"
"宿州学院","物理","本科批","宿州学院03","09","地质工程(以下专业在教育园区校区学习)","地质类","3","505","154520","刺客专业"
"宿州学院","物理","本科批","宿州学院03","10","水文与水资源工程(以下专业在教育园区校区学习)","水利类","4","505","154520","刺客专业"
"淮北师范大学","物理","本科批","淮北师范大学07","36","化学(师范)(以下专业除注明外在相山校区学习)","化学类","2","530","119386","刺客专业"
"淮北师范大学","物理","本科批","淮北师范大学07","37","应用化学(以下专业除注明外在相山校区学习)","化学类","1","525","126403","刺客专业"
"淮北师范大学","物理","本科批","淮北师范大学07","39","生物科学(师范)(以下专业除注明外在相山校区学习)","生物科学类","2","526","125022","刺客专业"
"淮北师范大学","物理","本科批","淮北师范大学07","41","环境生态工程(以下专业除注明外在相山校区学习)","环境科学与工程类","1","523","129306","刺客专业"
"安徽工业大学","物理","本科批","安徽工业大学03","34","应用化学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程,以下专业除注明外在佳山校区学习)","化学类","4","","","刺客专业"
"淮南师范学院","物理","本科批","淮南师范学院04","21","化学(师范)(以下专业在泉山校区学习)","化学类","2","521","132083","刺客专业"
"淮南师范学院","物理","本科批","淮南师范学院04","22","生物科学(师范)(以下专业在泉山校区学习)","生物科学类","2","525","126403","刺客专业"
"福州大学","历史","本科批","福州大学01","02","英语(只招英语考生)(以下专业第一学年在福州市铜盘校区学习,第二学年起在福州市旗山校区学习)","外国语言文学类","4","595","6766","刺客专业"
"福州大学","物理","本科批","福州大学03","05","建筑学(以下专业第一学年在福州市铜盘校区学习,第二学年起在福州市旗山校区学习)","建筑类","3","600","33986","刺客专业"
"福建理工大学","物理","本科批","福建理工大学03","09","海洋机器人(以下专业在鼓山校区学习)","海洋工程类","2","547","95643","刺客专业"
"福建理工大学","物理","本科批","福建理工大学03","10","智慧海洋技术(以下专业在鼓山校区学习)","海洋工程类","2","547","95643","刺客专业"
"龙岩学院","物理","本科批","龙岩学院02","04","应用化学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","2","504","155896","刺客专业"
"三明学院","物理","本科批","三明学院02","09","资源环境科学","环境科学与工程类","1","507","151738","刺客专业"
"厦门大学","历史","本科批","厦门大学02","09","戏剧影视文学(报考该专业须查阅院校招生章程)(以下专业在思明校区学习)","戏剧与影视学类","2","","","刺客专业"
"厦门大学","历史","本科批","厦门大学03","15","英语(只招英语考生)(厦门大学马来西亚分校招生专业)(学费为2.7万林吉特/年(以马币形式收取))(该校要求报考以下专业外语成绩不低于120分,以下为厦门天学马来西亚分校招生专业,就读地点为马来西亚雪兰莪州雪邦沙叻丁宜,培养方式依照马来西亚规定,入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习,学习期满并达到有关培养要求,可颁发相应的毕业证书,以下专业除汉语言文学为中英文双语教学,其余专业为全英文授课,具体情况详询院校)","外国语言文学类","3","616","2645","刺客专业"
"厦门大学","物理","本科批","厦门大学08","33","化学类(化学、能源化学、化学生物学、化学测量学与技术)(分流时本专业类内专业任选。入校后可选拔进入化学国家级拔尖学生培养基地)(以下专业除注明外在思明校区学习)","化学类","5","645","5634","刺客专业"
"厦门大学","物理","本科批","厦门大学09","38","海洋技术(厦门大学马来西亚分校招生专业)(学费为3.1万林吉特/年(以马币形式收取))(该校要求报考以下专业外语成绩不低于120分,以下为厦门大学马来西亚分校招生专业,就读地点为马来西亚雪兰莪州雪邦沙叻丁宜,培养方式依照马来西亚规定,入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习,学习期满并达到有关培养要求,可颁发相应的毕业证书,以下专业除中医学为中英文双语教学,其余专业为全英文授课,具体情况详询院校)","海洋科学类","2","625","15100","刺客专业"
"厦门大学","物理","本科批","厦门大学09","45","海洋科学(厦门大学马来西亚分校招生专业)(学费为3万林吉特/年(以马币形式收取))(该校要求报考以下专业外语成绩不低于120分,以下为厦门大学马来西亚分校招生专业,就读地点为马来西亚雪兰莪州雪邦沙叻丁宜,培养方式依照马来西亚规定,入学第一年期间达到所录取专业要求的雅思或托福或MUET等成绩后开始学位课程学习,学习期满并达到有关培养要求,可颁发相应的毕业证书,以下专业除中医学为中英文双语教学,其余专业为全英文授课,具体情况详询院校)","海洋科学类","1","","","刺客专业"
"集美大学","历史","本科批","集美大学01","03","英语(只招英语考生)","外国语言文学类","2","572","14118","刺客专业"
"集美大学","物理","提前本科批","集美大学03","06","轮机工程(视力等要求详见院校招生章程)","交通运输类","3","579","55262","刺客专业"
"华侨大学","历史","本科批","华侨大学01","09","行政管理(以下专业除注明外在泉州校区学习)","公共管理类","2","566","16347","刺客专业"
"武夷学院","物理","本科批","武夷学院03","09","茶学(报考该专业有色觉要求,具体请查阅院校招生章程)","植物生产类","2","502","158580","刺客专业"
"武夷学院","物理","本科批","武夷学院03","11","旅游地学与规划工程","地质类","1","502","158580","刺客专业"
"泉州师范学院","物理","本科批","泉州师范学院02","02","化学(师范)(以下专业在泉州主校区学习)","化学类","2","515","140609","刺客专业"
"泉州师范学院","物理","本科批","泉州师范学院02","07","海洋资源开发技术(以下专业在泉州主校区学习)","海洋工程类","2","","","刺客专业"
"闽南师范大学","物理","本科批","闽南师范大学07","07","环境科学与工程(江滨校区)","环境科学与工程类","3","524","127837","刺客专业"
"闽南师范大学","物理","本科批","闽南师范大学07","08","食品营养与健康(江滨校区)","食品科学与工程类","3","523","129306","刺客专业"
"江西财经大学","历史","本科批","江西财经大学01","02","人力资源管理","工商管理类","2","583","10246","刺客专业"
"江西财经大学","历史","本科批","江西财经大学01","05","养老服务管理","公共管理类","2","","","刺客专业"
"江西财经大学","历史","本科批","江西财经大学01","09","资源与环境经济学","经济学类","2","","","刺客专业"
"华东交通大学","历史","本科批","华东交通大学02","06","人力资源管理(以下专业在校本部学习)","工商管理类","2","558","19647","刺客专业"
"华东交通大学","历史","本科批","华东交通大学02","07","英语(只招英语考生)(以下专业在校本部学习)","外国语言文学类","2","558","19647","刺客专业"
"华东交通大学","历史","本科批","华东交通大学02","08","翻译(只招英语考生)(以下专业在校本部学习)","外国语言文学类","2","560","18814","刺客专业"
"华东交通大学","物理","本科批","华东交通大学10","38","交通运输(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在校本部学习)","交通运输类","2","594","39621","刺客专业"
"华东交通大学","物理","本科批","华东交通大学10","39","交通工程(以下专业除注明外在校本部学习)","交通运输类","3","582","51946","刺客专业"
"华东交通大学","物理","本科批","华东交通大学10","41","测绘工程(以下专业除注明外在校本部学习)","测绘类","2","","","刺客专业"
"南昌大学","历史","本科批","南昌大学01","02","英语(以下专业在前湖校区学习)","外国语言文学类","2","594","7024","刺客专业"
"南昌大学","历史","本科批","南昌大学01","03","日语(以下专业在前湖校区学习)","外国语言文学类","2","591","7819","刺客专业"
"南昌大学","历史","本科批","南昌大学01","05","行政管理(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在前湖校区学习)","公共管理类","2","","","刺客专业"
"南昌大学","物理","本科批","南昌大学03","16","生物科学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在前湖校区学习)","生物科学类","2","","","刺客专业"
"南昌大学","物理","本科批","南昌大学03","17","生物技术(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在前湖校区学习)","生物科学类","2","607","27966","刺客专业"
"南昌大学","物理","本科批","南昌大学03","18","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在前湖校区学习)","食品科学与工程类","2","607","27966","刺客专业"
"南昌航空大学","历史","本科批","南昌航空大学01","04","公共事业管理(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在上海路校区学习)","公共管理类","2","558","19647","刺客专业"
"南昌航空大学","物理","本科批","南昌航空大学05","16","应用化学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业在前湖校区学习)","化学类","2","563","74583","刺客专业"
"南昌航空大学","物理","本科批","南昌航空大学05","29","生物医学工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业在前湖校区学习)","生物医学工程类","2","562","75838","刺客专业"
"南昌航空大学","物理","本科批","南昌航空大学06","32","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在前湖校区学习)(中外合作办学)","生物医学工程类","4","","","刺客专业"
"江西科技师范大学","历史","本科批","江西科技师范大学01","01","法语(只招英语或法语考生)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","外国语言文学类","2","552","22328","刺客专业"
"江西科技师范大学","历史","本科批","江西科技师范大学01","02","文物与博物馆学(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","历史学类","2","556","20494","刺客专业"
"江西科技师范大学","历史","本科批","江西科技师范大学01","03","人力资源管理(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","工商管理类","2","553","21862","刺客专业"
"江西科技师范大学","历史","本科批","江西科技师范大学01","09","历史学(师范)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","历史学类","2","555","20941","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学02","10","法语(只招英语或法语考生)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","外国语言文学类","2","530","119386","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学02","11","人力资源管理(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业在红角洲校区学习)","工商管理类","2","531","117993","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学04","18","化学(枫林校区)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业除注明外在红角洲校区学习)","化学类","2","","","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学04","21","应用化学(枫林校区)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业除注明外在红角洲校区学习)","化学类","2","516","139204","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学04","36","化学(师范)(枫林校区)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业除注明外在红角洲校区学习)","化学类","2","524","127837","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学04","37","生物科学(师范)(枫林校区)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业除注明外在红角洲校区学习)","生物科学类","2","515","140609","刺客专业"
"江西科技师范大学","物理","本科批","江西科技师范大学04","38","食品科学与工程(职教师范)(枫林校区)(报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程。以下专业除注明外在红角洲校区学习)","食品科学与工程类","2","514","142069","刺客专业"
"江西农业大学","物理","本科批","江西农业大学04","11","城乡规划(南北校区)(以下专业除注明外在东校区学习)","建筑类","1","534","113740","刺客专业"
"江西农业大学","物理","本科批","江西农业大学06","20","智慧林业(以下专业在南北校区学习)","林学类","3","533","115116","刺客专业"
"江西农业大学","物理","本科批","江西农业大学06","22","环境科学与工程(以下专业在南北校区学习)","环境科学与工程类","4","532","116555","刺客专业"
"江西农业大学","物理","本科批","江西农业大学06","23","地理空间信息工程(以下专业在南北校区学习)","测绘类","1","","","刺客专业"
"江西师范大学","历史","本科批","江西师范大学02","05","行政管理(数字治理)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在瑶湖校区学习)","公共管理类","1","565","16742","刺客专业"
"江西师范大学","历史","本科批","江西师范大学02","06","行政管理(应急治理)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在瑶湖校区学习)","公共管理类","1","560","18814","刺客专业"
"江西师范大学","历史","本科批","江西师范大学02","07","城乡规划(以下专业在瑶湖校区学习)","建筑类","3","561","18397","刺客专业"
"江西师范大学","历史","本科批","江西师范大学02","09","日语(跨国商务)(以下专业在瑶湖校区学习)","外国语言文学类","2","560","18814","刺客专业"
"江西师范大学","历史","本科批","江西师范大学02","10","俄语(国际经贸)(以下专业在瑶湖校区学习)","外国语言文学类","1","559","19225","刺客专业"
"江西师范大学","物理","本科批","江西师范大学11","37","城乡规划(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业在瑶湖校区学习)","建筑类","1","545","98332","刺客专业"
"江西水利电力大学","物理","本科批","江西水利电力大学04","10","农业水利工程(以下专业在瑶湖校区学习)","农业工程类","2","","","刺客专业"
"江西水利电力大学","物理","本科批","江西水利电力大学04","11","水土保持与荒漠化防治(以下专业在瑶湖校区学习)","自然保护与环境生态类","2","","","刺客专业"
"江西警察学院","物理","本科批","江西警察学院03","06","应急技术与管理(以下专业为非公安类招生)","安全科学与工程类","3","","","刺客专业"
"江西理工大学","历史","本科批","江西理工大学01","02","城乡规划(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","建筑类","2","555","20941","刺客专业"
"江西理工大学","历史","本科批","江西理工大学01","06","人力资源管理(南昌校区)(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","工商管理类","2","552","22328","刺客专业"
"江西理工大学","历史","本科批","江西理工大学01","08","英语(只招英语考生)(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","外国语言文学类","2","553","21862","刺客专业"
"江西理工大学","物理","本科批","江西理工大学03","16","应用化学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","化学类","2","536","110915","刺客专业"
"江西理工大学","物理","本科批","江西理工大学03","26","测绘工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","测绘类","2","536","110915","刺客专业"
"江西理工大学","物理","本科批","江西理工大学03","33","安全工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","安全科学与工程类","2","538","108074","刺客专业"
"江西理工大学","物理","本科批","江西理工大学03","34","采矿工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","矿业类","2","540","105342","刺客专业"
"江西理工大学","物理","本科批","江西理工大学03","35","矿物加工工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在赣州校区学习)","矿业类","2","538","108074","刺客专业"
"赣南医科大学","物理","本科批","赣南医科大学06","12","生物医学工程(医学电子)(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业第一学年在龙南校区学习,第二学年起在蓉江、章贡等校区学习)","生物医学工程类","3","","","刺客专业"
"赣南医科大学","物理","本科批","赣南医科大学06","14","生物信息学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业第一学年在龙南校区学习,第二学年起在蓉江、章贡等校区学习)","生物科学类","3","502","158580","刺客专业"
"赣南医科大学","物理","本科批","赣南医科大学06","15","假肢矫形工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业第一学年在龙南校区学习,第二学年起在蓉江、章贡等校区学习)","生物医学工程类","2","506","153113","刺客专业"
"赣南师范大学","物理","本科批","赣南师范大学11","28","人力资源管理(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业第一、二学年在南康校区学习,第三、四学年在蓉江校区学习)","工商管理类","2","","","刺客专业"
"景德镇陶瓷大学","历史","本科批","景德镇陶瓷大学01","06","英语(口)(湘湖校区)(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业除注明外在新厂校区学习)","外国语言文学类","1","550","23248","刺客专业"
