code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
030612TK,公安管理学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030613TK,涉外警务,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030614TK,国内安全保卫,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030615TK,警务指挥与战术,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030616TK,技术侦查学,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030617TK,海警执法,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030618TK,公安政治工作,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030619TK,移民管理,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030620TK,出入境管理,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030621TK,反恐警务,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030622TK,消防政治工作,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030623TK,铁路警务,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030624TK,森林消防,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
030625TK,政治安全保卫,法学,0306,公安学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040101,教育学,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040102,科学教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040103,人文教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040104,教育技术学,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040105,艺术教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040106,学前教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040107,小学教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040108,特殊教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040109T,华文教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040110TK,教育康复学,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040111T,卫生教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040112T,认知科学与技术,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040113T,融合教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040114TK,劳动教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040115T,家庭教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040116TK,孤独症儿童教育,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040117TK,人工智能教育,教育学,0401,教育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040118T,婴幼儿发展与健康管理,教育学,0401,教育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
040201,体育教育,教育学,0402,体育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040202K,运动训练,教育学,0402,体育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040203,社会体育指导与管理,教育学,0402,体育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040204K,武术与民族传统体育,教育学,0402,体育学类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
040205,运动人体科学,教育学,0402,体育学类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
